date_start,date_end,week_day_start,week_day_end,roadID,probabilityOfOccurrence,operatorActionStatus,sourceName
2014-05-24-10,2019-04-30-22,Saturday,Tuesday,12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid]
2014-05-24-10,2019-04-30-22,Saturday,Tuesday,13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid]
2014-10-03-19,2019-04-30-22,Friday,Tuesday,15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid]
2014-10-03-19,2019-04-30-22,Friday,Tuesday,16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid]
2014-12-31-23,2020-06-30-22,Wednesday,Tuesday,14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid]
2016-04-15-19,2017-01-17-04,Friday,Tuesday,19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-04-15-19,2017-01-17-04,Friday,Tuesday,20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-04-15-19,2017-01-17-04,Friday,Tuesday,21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-04-15-19,2017-01-17-04,Friday,Tuesday,22,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-04-15-19,2017-01-17-04,Friday,Tuesday,23,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-05-30-03,2016-07-04-21,Monday,Monday,1,probable,approved,WNN-Z [RWS West-Nederland Noord District Zuid]
2016-05-30-03,2016-07-04-21,Monday,Monday,1,probable,"",WNN-Z [RWS West-Nederland Noord District Zuid]
2016-05-30-03,2016-07-04-21,Monday,Monday,222,probable,approved,WNN-Z [RWS West-Nederland Noord District Zuid]
2016-05-30-06,2016-06-10-20,Monday,Friday,97,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid]
2016-05-30-06,2016-06-10-20,Monday,Friday,222,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid]
2016-05-30-06,2016-06-10-21,Monday,Friday,97,certain,implemented,WNN-Z [RWS West-Nederland Noord District Zuid]
2016-05-30-06,2016-06-10-21,Monday,Friday,98,certain,implemented,WNN-Z [RWS West-Nederland Noord District Zuid]
2016-05-31-20,2016-05-31-23,Tuesday,Tuesday,1,probable,approved,WNN-Z [RWS West-Nederland Noord District Zuid]
2016-05-31-20,2016-05-31-23,Tuesday,Tuesday,1,probable,"",WNN-Z [RWS West-Nederland Noord District Zuid]
2016-05-31-20,2016-05-31-23,Tuesday,Tuesday,2,probable,approved,WNN-Z [RWS West-Nederland Noord District Zuid]
2016-05-31-20,2016-06-01-02,Tuesday,Wednesday,4,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-05-31-20,2016-06-01-02,Tuesday,Wednesday,5,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-05-31-20,2016-06-01-02,Tuesday,Wednesday,4,riskOf,"",WNN-N [RWS West-Nederland Noord District Noord]
2016-05-31-20,2016-06-01-02,Tuesday,Wednesday,6,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-05-31-21,2016-06-01-02,Tuesday,Wednesday,3,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-05-31-21,2016-06-01-03,Tuesday,Wednesday,1,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid]
2016-05-31-21,2016-06-01-03,Tuesday,Wednesday,1,riskOf,"",WNN-Z [RWS West-Nederland Noord District Zuid]
2016-06-01-08,2016-06-01-13,Wednesday,Wednesday,175,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid]
2016-06-01-09,2016-06-01-13,Wednesday,Wednesday,70,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-09,2016-06-01-15,Wednesday,Wednesday,70,certain,implemented,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-18,2016-06-01-18,Wednesday,Wednesday,179,certain,approved,MN-Z [RWS Midden-Nederland District Zuid]
2016-06-01-18,2016-06-01-22,Wednesday,Wednesday,179,certain,implemented,MN-Z [RWS Midden-Nederland District Zuid]
2016-06-01-19,2016-06-02-00,Wednesday,Thursday,180,certain,implemented,WNN-Z [RWS West-Nederland Noord District Zuid]
2016-06-01-19,2016-06-02-02,Wednesday,Thursday,4,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-19,2016-06-02-02,Wednesday,Thursday,5,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-19,2016-06-02-02,Wednesday,Thursday,91,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-19,2016-06-02-02,Wednesday,Thursday,92,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-19,2016-06-02-02,Wednesday,Thursday,92,riskOf,"",WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-19,2016-06-02-02,Wednesday,Thursday,93,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-19,2016-06-02-02,Wednesday,Thursday,94,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-19,2016-06-02-02,Wednesday,Thursday,95,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-19,2016-06-02-03,Wednesday,Thursday,4,certain,implemented,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-19,2016-06-02-03,Wednesday,Thursday,5,certain,implemented,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-19,2016-06-02-03,Wednesday,Thursday,6,certain,implemented,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-19,2016-06-02-03,Wednesday,Thursday,92,certain,implemented,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-19,2016-06-02-03,Wednesday,Thursday,92,riskOf,"",WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-19,2016-06-02-03,Wednesday,Thursday,93,certain,implemented,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-19,2016-06-02-03,Wednesday,Thursday,94,certain,implemented,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-19,2016-06-02-03,Wednesday,Thursday,181,certain,implemented,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-19,2016-06-03-04,Wednesday,Friday,180,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid]
2016-06-01-19,,Wednesday,,180,certain,implemented,WNN-Z [RWS West-Nederland Noord District Zuid]
2016-06-01-20,2016-06-02-03,Wednesday,Thursday,4,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-20,2016-06-02-03,Wednesday,Thursday,5,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-20,2016-06-02-03,Wednesday,Thursday,91,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-20,2016-06-02-03,Wednesday,Thursday,92,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-20,2016-06-02-03,Wednesday,Thursday,92,riskOf,"",WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-20,2016-06-02-03,Wednesday,Thursday,93,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-20,2016-06-02-03,Wednesday,Thursday,94,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-20,2016-06-02-03,Wednesday,Thursday,95,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-01-21,2016-06-02-02,Wednesday,Thursday,1,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid]
2016-06-01-21,2016-06-02-02,Wednesday,Thursday,1,riskOf,"",WNN-Z [RWS West-Nederland Noord District Zuid]
2016-06-01-21,2016-06-02-03,Wednesday,Thursday,1,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid]
2016-06-01-21,2016-06-02-03,Wednesday,Thursday,1,riskOf,"",WNN-Z [RWS West-Nederland Noord District Zuid]
2016-06-01-21,2016-06-02-03,Wednesday,Thursday,1,certain,implemented,WNN-Z [RWS West-Nederland Noord District Zuid]
2016-06-01-21,2016-06-02-03,Wednesday,Thursday,1,riskOf,"",WNN-Z [RWS West-Nederland Noord District Zuid]
2016-06-01-21,2016-06-02-03,Wednesday,Thursday,28,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid]
2016-06-02-06,2016-06-02-06,Thursday,Thursday,182,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-02-06,2016-06-02-10,Thursday,Thursday,182,certain,implemented,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-02-08,2016-06-02-13,Thursday,Thursday,187,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-02-09,2016-06-02-12,Thursday,Thursday,184,certain,implemented,WNN-Z [RWS West-Nederland Noord District Zuid]
2016-06-02-09,2016-06-02-15,Thursday,Thursday,70,certain,implemented,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-02-09,2016-06-02-20,Thursday,Thursday,70,certain,approved,WNN-N [RWS West-Nederland Noord District Noord]
2016-06-02-09,,Thursday,,70,certain,implemented,WNN-N [RWS West-Nederland Noord District Noord]
