measurementSiteReference,index,specificVehicleCharacteristics,startLocatieForDisplayLat,startLocatieForDisplayLong,ROADNUMBER,speedID
GEO02_PNHTI503,7C,greaterThan 1.85 and lessThanOrEqualTo 2.40,52.3398,4.6358,N201,1
GEO02_PNHTI503,8C,greaterThan 2.40 and lessThanOrEqualTo 5.60,52.3398,4.6358,N201,2
GEO02_PNHTI503,9C,greaterThan 5.60 and lessThanOrEqualTo 11.50,52.3398,4.6358,N201,3
GEO02_PNHTI503,10C,greaterThan 11.50 and lessThanOrEqualTo 12.20,52.3398,4.6358,N201,4
GEO02_PNHTI503,11C,greaterThan 12.20,52.3398,4.6358,N201,5
GEO02_PNHTI503,12C,anyVehicle,52.3398,4.6358,N201,6
GEO02_PNHTI503,19C,greaterThan 1.85 and lessThanOrEqualTo 2.40,52.3398,4.6358,N201,7
GEO02_PNHTI503,20C,greaterThan 2.40 and lessThanOrEqualTo 5.60,52.3398,4.6358,N201,8
GEO02_PNHTI503,21C,greaterThan 5.60 and lessThanOrEqualTo 11.50,52.3398,4.6358,N201,9
GEO02_PNHTI503,22C,greaterThan 11.50 and lessThanOrEqualTo 12.20,52.3398,4.6358,N201,10
GEO02_PNHTI503,23C,greaterThan 12.20,52.3398,4.6358,N201,11
GEO02_PNHTI503,24C,anyVehicle,52.3398,4.6358,N201,12
GEO02_PNHTI503r,7C,greaterThan 1.85 and lessThanOrEqualTo 2.40,52.3398,4.6358,N201,13
GEO02_PNHTI503r,8C,greaterThan 2.40 and lessThanOrEqualTo 5.60,52.3398,4.6358,N201,14
GEO02_PNHTI503r,9C,greaterThan 5.60 and lessThanOrEqualTo 11.50,52.3398,4.6358,N201,15
GEO02_PNHTI503r,10C,greaterThan 11.50 and lessThanOrEqualTo 12.20,52.3398,4.6358,N201,16
GEO02_PNHTI503r,11C,greaterThan 12.20,52.3398,4.6358,N201,17
GEO02_PNHTI503r,12C,anyVehicle,52.3398,4.6358,N201,18
GEO02_PNHTI503r,19C,greaterThan 1.85 and lessThanOrEqualTo 2.40,52.3398,4.6358,N201,19
GEO02_PNHTI503r,20C,greaterThan 2.40 and lessThanOrEqualTo 5.60,52.3398,4.6358,N201,20
GEO02_PNHTI503r,21C,greaterThan 5.60 and lessThanOrEqualTo 11.50,52.3398,4.6358,N201,21
GEO02_PNHTI503r,22C,greaterThan 11.50 and lessThanOrEqualTo 12.20,52.3398,4.6358,N201,22
GEO02_PNHTI503r,23C,greaterThan 12.20,52.3398,4.6358,N201,23
GEO02_PNHTI503r,24C,anyVehicle,52.3398,4.6358,N201,24
GEO02_PNHTI504,7C,greaterThan 1.85 and lessThanOrEqualTo 2.40,52.3326,4.64281,N201,25
GEO02_PNHTI504,8C,greaterThan 2.40 and lessThanOrEqualTo 5.60,52.3326,4.64281,N201,26
GEO02_PNHTI504,9C,greaterThan 5.60 and lessThanOrEqualTo 11.50,52.3326,4.64281,N201,27
GEO02_PNHTI504,10C,greaterThan 11.50 and lessThanOrEqualTo 12.20,52.3326,4.64281,N201,28
GEO02_PNHTI504,11C,greaterThan 12.20,52.3326,4.64281,N201,29
GEO02_PNHTI504,12C,anyVehicle,52.3326,4.64281,N201,30
GEO02_PNHTI504,19C,greaterThan 1.85 and lessThanOrEqualTo 2.40,52.3326,4.64281,N201,31
GEO02_PNHTI504,20C,greaterThan 2.40 and lessThanOrEqualTo 5.60,52.3326,4.64281,N201,32
GEO02_PNHTI504,21C,greaterThan 5.60 and lessThanOrEqualTo 11.50,52.3326,4.64281,N201,33
GEO02_PNHTI504,22C,greaterThan 11.50 and lessThanOrEqualTo 12.20,52.3326,4.64281,N201,34
GEO02_PNHTI504,23C,greaterThan 12.20,52.3326,4.64281,N201,35
GEO02_PNHTI504,24C,anyVehicle,52.3326,4.64281,N201,36
GEO02_PNHTI504r,7C,greaterThan 1.85 and lessThanOrEqualTo 2.40,52.3322,4.6438,N201,37
GEO02_PNHTI504r,8C,greaterThan 2.40 and lessThanOrEqualTo 5.60,52.3322,4.6438,N201,38
GEO02_PNHTI504r,9C,greaterThan 5.60 and lessThanOrEqualTo 11.50,52.3322,4.6438,N201,39
