date,hour,dataType,dateID
2016-06-01,00,Road,1
2016-06-01,00,Flow,2
2016-06-01,00,Speed,3
2016-06-01,01,Road,4
2016-06-01,01,Flow,5
2016-06-01,01,Speed,6
2016-06-01,02,Road,7
2016-06-01,02,Flow,8
2016-06-01,02,Speed,9
2016-06-01,03,Road,10
2016-06-01,03,Flow,11
2016-06-01,03,Speed,12
2016-06-01,04,Road,13
2016-06-01,04,Flow,14
2016-06-01,04,Speed,15
2016-06-01,05,Road,16
2016-06-01,05,Flow,17
2016-06-01,05,Speed,18
2016-06-01,06,Road,19
2016-06-01,06,Flow,20
2016-06-01,06,Speed,21
2016-06-01,07,Road,22
2016-06-01,07,Flow,23
2016-06-01,07,Speed,24
2016-06-01,08,Road,25
2016-06-01,08,Flow,26
2016-06-01,08,Speed,27
2016-06-01,09,Road,28
2016-06-01,09,Flow,29
2016-06-01,09,Speed,30
2016-06-01,10,Road,31
2016-06-01,10,Flow,32
2016-06-01,10,Speed,33
2016-06-01,11,Road,34
2016-06-01,11,Flow,35
2016-06-01,11,Speed,36
2016-06-01,12,Road,37
2016-06-01,12,Flow,38
2016-06-01,12,Speed,39
2016-06-01,13,Road,40
2016-06-01,13,Flow,41
2016-06-01,13,Speed,42
2016-06-01,14,Road,43
2016-06-01,14,Flow,44
2016-06-01,14,Speed,45
2016-06-01,15,Road,46
2016-06-01,15,Flow,47
2016-06-01,15,Speed,48
2016-06-01,16,Road,49
2016-06-01,16,Flow,50
2016-06-01,16,Speed,51
2016-06-01,17,Road,52
2016-06-01,17,Flow,53
2016-06-01,17,Speed,54
2016-06-01,18,Road,55
2016-06-01,18,Flow,56
2016-06-01,18,Speed,57
2016-06-01,19,Road,58
2016-06-01,19,Flow,59
2016-06-01,19,Speed,60
2016-06-01,20,Road,61
2016-06-01,20,Flow,62
2016-06-01,20,Speed,63
2016-06-01,21,Road,64
2016-06-01,21,Flow,65
2016-06-01,21,Speed,66
2016-06-01,22,Road,67
2016-06-01,22,Flow,68
2016-06-01,22,Speed,69
2016-06-01,23,Road,70
2016-06-01,23,Flow,71
2016-06-01,23,Speed,72
2016-06-02,00,Road,73
2016-06-02,00,Flow,74
2016-06-02,00,Speed,75
2016-06-02,01,Road,76
2016-06-02,01,Flow,77
2016-06-02,01,Speed,78
2016-06-02,02,Road,79
2016-06-02,02,Flow,80
2016-06-02,02,Speed,81
2016-06-02,03,Road,82
2016-06-02,03,Flow,83
2016-06-02,03,Speed,84
2016-06-02,04,Road,85
2016-06-02,04,Flow,86
2016-06-02,04,Speed,87
2016-06-02,05,Road,88
2016-06-02,05,Flow,89
2016-06-02,05,Speed,90
2016-06-02,06,Road,91
2016-06-02,06,Flow,92
2016-06-02,06,Speed,93
2016-06-02,07,Road,94
2016-06-02,07,Flow,95
2016-06-02,07,Speed,96
2016-06-02,08,Road,97
2016-06-02,08,Flow,98
2016-06-02,08,Speed,99
2016-06-02,09,Road,100
2016-06-02,09,Flow,101
2016-06-02,09,Speed,102
2016-06-02,10,Road,103
2016-06-02,10,Flow,104
2016-06-02,10,Speed,105
2016-06-02,11,Road,106
2016-06-02,11,Flow,107
2016-06-02,11,Speed,108
2016-06-02,12,Road,109
2016-06-02,12,Flow,110
2016-06-02,12,Speed,111
2016-06-02,13,Road,112
2016-06-02,13,Flow,113
2016-06-02,13,Speed,114
2016-06-02,14,Road,115
2016-06-02,14,Flow,116
2016-06-02,14,Speed,117
2016-06-02,15,Road,118
2016-06-02,15,Flow,119
2016-06-02,15,Speed,120
2016-06-02,16,Road,121
2016-06-02,16,Flow,122
2016-06-02,16,Speed,123
2016-06-02,17,Road,124
2016-06-02,17,Flow,125
2016-06-02,17,Speed,126
2016-06-02,18,Road,127
2016-06-02,18,Flow,128
2016-06-02,18,Speed,129
2016-06-02,19,Road,130
2016-06-02,19,Flow,131
2016-06-02,19,Speed,132
2016-06-02,20,Road,133
2016-06-02,20,Flow,134
2016-06-02,20,Speed,135
2016-06-02,21,Road,136
2016-06-02,21,Flow,137
