roadID,probabilityOfOccurrence,operatorActionStatus,sourceName,date,hour
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,00
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,01
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,02
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,03
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,04
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,05
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,06
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,07
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,08
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,09
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,10
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,11
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,12
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,13
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,14
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,15
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,16
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,17
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,18
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,19
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,20
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,21
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,22
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-05,23
