measurementSiteReference,startLocatieForDisplayLat,startLocatieForDisplayLong,ROADNUMBER,flowID
GEO02_PNHTI503,52.3398,4.6358,N201,1
GEO02_PNHTI503r,52.3398,4.6358,N201,2
GEO02_PNHTI504,52.3326,4.64281,N201,3
GEO02_PNHTI504r,52.3322,4.6438,N201,4
GEO02_PNHTI505,52.3164,4.68152,N201,5
GEO02_PNHTI505r,52.3164,4.68152,N201,6
GEO02_PNHTI506,52.3085,4.70949,N201,7
GEO02_PNHTI506r,52.3085,4.70949,N201,8
GEO02_PNHTI507,52.2848,4.73054,N196,9
GEO02_PNHTI507r,52.2849,4.73065,N196,10
GEO02_PNHTI508,52.2578,4.77092,N196,11
GEO02_PNHTI508r,52.2578,4.77092,N196,12
GEO02_PNHTI512,52.4522,4.67637,N202,13
GEO02_PNHTI512r,52.4522,4.67637,N202,14
GEO02_PNHTI513,52.4301,4.73391,N202,15
GEO02_PNHTI513r,52.4301,4.73391,N202,16
GEO02_PNHTI518,52.3704,4.67406,N205,17
GEO02_PNHTI518r,52.3702,4.67607,N205,18
GEO02_PNHTI519,52.3513,4.69689,N205,19
GEO02_PNHTI519r,52.3513,4.69689,N205,20
GEO02_PNHTI531,52.4188,4.64372,N208,21
GEO02_PNHTI531r,52.4187,4.64372,A208,22
GEO02_PNHTI532,52.4319,4.64746,A208,23
GEO02_PNHTI532r,52.432,4.64708,A208,24
GEO02_PNHTI534,52.2563,4.78288,N231,25
GEO02_PNHTI534r,52.2563,4.78288,N231,26
GEO02_PNHTI535,52.2685,4.80288,N231,27
GEO02_PNHTI535r,52.2685,4.80288,N231,28
GEO02_PNHTI536,52.3026,4.81213,N231,29
GEO02_PNHTI536r,52.3026,4.81213,N231,30
GEO02_PNHTI537,52.3699,4.67941,N232,31
GEO02_PNHTI537r,52.3699,4.67941,N232,32
GEO02_PNHTI538,52.3647,4.71708,N232,33
GEO02_PNHTI538r,52.3647,4.71708,N232,34
GEO02_PNHTI539,52.3522,4.74063,N232,35
GEO02_PNHTI539r,52.3522,4.74063,N232,36
GEO02_PNHTI541,52.3309,4.78027,N232,37
GEO02_PNHTI541r,52.3309,4.78027,N232,38
GEO02_PNHTI542,52.3063,4.83181,A9,39
GEO02_PNHTI542r,52.3062,4.83182,A9,40
GEO02_PNHTI543,52.4245,4.95108,N235,41
GEO02_PNHTI543r,52.4245,4.95108,N235,42
GEO02_PNHTI545,52.312,4.99871,N236,43
GEO02_PNHTI545r,52.312,4.99871,N236,44
GEO02_PNHTI546,52.3032,5.01688,N236,45
GEO02_PNHTI546r,52.3032,5.01688,N236,46
GEO02_PNHTI547,52.3025,5.02918,N236,47
GEO02_PNHTI547r,52.3025,5.02918,N236,48
GEO02_PNHTI548,52.2958,5.05763,N236,49
GEO02_PNHTI548r,52.2958,5.05763,N236,50
GEO02_PNHTI549,52.2912,5.07479,N236,51
GEO02_PNHTI549r,52.2912,5.07479,N236,52
GEO02_PNHTI570,52.4404,4.73456,N246,53
GEO02_PNHTI570r,52.4404,4.73456,N246,54
GEO02_PNHTI576,52.424,4.96383,N247,55
GEO02_PNHTI576r,52.4225,4.96168,N247,56
GEO02_PNHTI577,52.4438,5.01806,N247,57
GEO02_PNHTI577r,52.4438,5.01806,N247,58
GEO02_PNHTI594,52.431,4.85558,N516,59
GEO02_PNHTI594r,52.431,4.85558,N516,60
GEO02_PNHTI595,52.4325,4.87414,N516,61
GEO02_PNHTI595r,52.4325,4.87414,N516,62
GEO02_PNHTI597,52.4388,5.05085,N518,63
GEO02_PNHTI597r,52.4388,5.05085,N518,64
GEO02_PNHTI598,52.3634,4.73595,N519,65
GEO02_PNHTI598r,52.3634,4.73595,N519,66
GEO02_PNHTI599,52.2581,4.82868,N521,67
GEO02_PNHTI599r,52.2581,4.82868,N521,68
GEO02_PNHTI600,52.2985,4.89119,N522,69
GEO02_PNHTI600r,52.2985,4.89119,N522,70
GEO02_PNHTI601,52.3027,4.91816,N522,71
GEO02_PNHTI601r,52.3027,4.91816,N522,72
GEO02_PNHTI602,52.2777,5.05173,N523,73
GEO02_PNHTI602r,52.2777,5.05173,N523,74
GEO02_PNHTI608,52.2733,4.78438,N201,75
GEO02_PNHTI608r,52.2734,4.7847,N201,76
GEO02_PNHTI609,52.2788,4.7277,N201,77
GEO02_PNHTI609r,52.2788,4.7277,N201,78
GEO02_PNHTI611,52.2963,4.79303,N232,79
GEO02_PNHTI612,52.2962,4.79335,N232,80
GEO02_PNHTI613,52.3013,4.79713,N232,81
GEO02_PNHTI614,52.2865,4.75879,N201,82
GEO02_PNHTI615,52.2867,4.75849,N201,83
GEO02_PNHTI616,52.2567,4.8192,N201,84
GEO02_PNHTI617,52.2569,4.81936,N201,85
GEO02_R_RWSTI1147,52.301,4.93601,A9,86
GEO02_R_RWSTI370,52.3317,5.00493,A1,87
GEO02_R_RWSTI4099,52.3276,5.0607,A1,88
GEO02_R_RWSTI4100,52.3276,5.06072,A1,89
GEO02_R_RWSTI4101,52.3276,5.06072,A1,90
GEO02_R_RWSTI4102,52.328,5.06081,A1,91
GEO02_R_RWSTI4196,52.3852,4.71479,A200,92
GEO02_R_RWSTI4197,52.3852,4.71479,A200,93
GEO02_R_RWSTI4198,52.3852,4.7148,A200,94
GEO02_R_RWSTI4199,52.3852,4.7148,A200,95
GEO02_R_RWSTI4245,52.4165,4.91749,A10,96
GEO02_R_RWSTI4246,52.4168,4.91778,A10,97
GEO02_R_RWSTI4249,52.3384,4.94814,A10,98
GEO02_R_RWSTI4250,52.3384,4.94814,A10,99
GEO02_R_RWSTI4320,52.2995,4.93954,A9,100
GEO02_R_RWSTI4321,52.2975,4.94204,A9,101
GEO02_R_RWSTI4322,52.2975,4.94206,A9,102
GEO02_R_RWSTI4323,52.2881,4.91726,A9,103
GEO02_R_RWSTI4324,52.2881,4.91733,A9,104
GEO02_R_RWSTI4325,52.2964,4.88221,A9,105
GEO02_R_RWSTI4326,52.2964,4.88221,A9,106
GEO02_R_RWSTI4327,52.2971,4.87495,A9,107
GEO02_R_RWSTI4328,52.2971,4.87494,A9,108
GEO02_R_RWSTI4340,52.3394,4.84195,A10,109
GEO02_R_RWSTI4341,52.3394,4.84195,A10,110
GEO02_R_RWSTI4345,52.3529,4.84231,A10,111
GEO02_R_RWSTI4346,52.3529,4.84236,A10,112
GEO02_R_RWSTI4347,52.3529,4.84236,A10,113
GEO02_R_RWSTI4348,52.3759,4.84319,A10,114
GEO02_R_RWSTI4350,52.338,4.83351,A4,115
GEO02_R_RWSTI4351,52.338,4.83351,A4,116
GEO02_R_RWSTI4352,52.339,4.82655,A4,117
GEO02_R_RWSTI4353,52.339,4.82659,A10,118
GEO02_R_RWSTI4368,52.2819,4.95108,A2,119
GEO02_R_RWSTI4369,52.2819,4.95105,A9,120
GEO02_R_RWSTI4370,52.2825,4.95158,A2,121
GEO02_R_RWSTI4371,52.2825,4.95157,A2,122
GEO02_R_RWSTI4466,52.3224,4.91495,A2,123
GEO02_R_RWSTI4468,52.3224,4.91495,A2,124
GEO02_R_RWSTI4469,52.3224,4.91495,A2,125
GEO02_R_RWSTI4474,52.4029,4.85213,A10,126
GEO02_R_RWSTI4475,52.4029,4.85213,A10,127
GEO02_R_RWSTI4476,52.4025,4.85188,A10,128
GEO02_R_RWSTI4477,52.4025,4.85188,A10,129
GEO02_R_RWSTI4478,52.4029,4.85128,A10,130
GEO02_R_RWSTI4479,52.4059,4.85458,A10,131
GEO02_R_RWSTI4480,52.3222,4.9143,A2,132
GEO02_R_RWSTI783,52.4457,4.65433,A208,133
GEO02_R_RWSTI785,52.4483,4.65491,A208,134
GEO02_RVTTI07,52.4411,4.64121,ndw175,135
GEO02_RVTTI08,52.441,4.64106,ndw175,136
GEO02_Z_RWSTIN278,52.385,4.84328,s103,137
GEO02_Z_RWSTIN279,52.3849,4.83931,N200,138
GEO02_Z_RWSTIN280,52.3849,4.84094,N200,139
GEO02_Z_RWSTIN281,52.3848,4.83352,N200,140
GEO02_Z_RWSTIN282,52.3847,4.83557,N200,141
GEO02_Z_RWSTIN283,52.3847,4.81806,N200,142
GEO02_Z_RWSTIN284,52.3843,4.82011,N200,143
GEO02_Z_RWSTIN285,52.384,4.7537,N200,144
GEO02_Z_RWSTIN286,52.3839,4.7554,N200,145
GEO02_Z_RWSTIN287,52.3862,4.7412,N200,146
