startLocatieForDisplayLat,startLocatieForDisplayLong,carriageway,roadID
52.30485,4.9619155,mainCarriageway,1
52.324356,5.0047064,mainCarriageway,2
52.446587,4.661537,mainCarriageway,3
52.450794,4.658816,mainCarriageway,4
52.445854,4.6624136,mainCarriageway,5
52.471237,4.679963,exitSlipRoad,6
52.35799,4.8423805,mainCarriageway,7
52.36205,4.842248,mainCarriageway,8
52.34869,4.8412914,mainCarriageway,9
52.358456,4.8425894,mainCarriageway,10
52.36294,4.8424764,mainCarriageway,11
52.28855,4.7277584,connectingCarriageway,12
52.32812,4.7966614,connectingCarriageway,13
52.29577,4.937843,mainCarriageway,14
52.359264,4.7340403,connectingCarriageway,15
52.32773,4.789532,connectingCarriageway,16
52.321194,5.002257,mainCarriageway,17
52.3329,5.0044456,mainCarriageway,18
52.436234,4.6724343,mainCarriageway,19
52.47199,4.6523247,mainCarriageway,20
52.489788,4.6952972,mainCarriageway,21
52.475155,4.655017,mainCarriageway,22
52.45426,4.657246,mainCarriageway,23
52.314117,4.921398,mainCarriageway,24
52.421986,4.87217,connectingCarriageway,25
52.430492,4.869139,connectingCarriageway,26
52.421516,4.8716106,mainCarriageway,27
52.393345,4.8014736,mainCarriageway,28
52.409126,4.859683,mainCarriageway,29
52.374725,4.8428597,mainCarriageway,30
52.384254,4.844732,mainCarriageway,31
52.281242,4.7165036,mainCarriageway,32
52.289326,4.7278595,mainCarriageway,33
52.29642,4.7309732,mainCarriageway,34
52.296593,4.730979,mainCarriageway,35
52.291645,4.7318964,mainCarriageway,36
52.26374,4.6919017,mainCarriageway,37
52.401302,4.851094,entrySlipRoad,38
52.431763,4.8645253,mainCarriageway,39
52.422504,4.8737116,parallelCarriageway,40
52.432514,4.865714,exitSlipRoad,41
52.390533,4.8444,mainCarriageway,42
52.391075,4.843509,entrySlipRoad,43
52.31206,4.750209,mainCarriageway,44
52.299,4.741909,mainCarriageway,45
52.285618,4.7232404,mainCarriageway,46
52.320576,4.7582216,mainCarriageway,47
52.332092,4.802002,mainCarriageway,48
52.31349,4.751095,mainCarriageway,49
52.3094,4.7494483,entrySlipRoad,50
52.333477,4.80427,mainCarriageway,51
52.33126,4.7906694,parallelCarriageway,52
52.327488,4.797863,parallelCarriageway,53
52.32989,4.797129,mainCarriageway,54
52.322937,4.763042,mainCarriageway,55
52.347996,4.735711,mainCarriageway,56
52.3274,4.79803,parallelCarriageway,57
52.331093,4.7904134,mainCarriageway,58
52.323395,4.8039255,mainCarriageway,59
52.34936,4.73625,mainCarriageway,60
52.354256,4.741254,connectingCarriageway,61
52.354717,4.7380714,parallelCarriageway,62
52.38008,4.7080274,mainCarriageway,63
52.32811,4.7923374,parallelCarriageway,64
52.32629,4.7884808,connectingCarriageway,65
52.44163,4.667947,mainCarriageway,66
52.4676,4.6766763,mainCarriageway,67
52.32835,4.7962327,parallelCarriageway,68
52.35719,4.738944,parallelCarriageway,69
52.459038,4.846776,mainCarriageway,70
52.31803,4.809657,mainCarriageway,71
52.33173,4.8002567,mainCarriageway,72
52.38336,4.844133,entrySlipRoad,73
52.384865,4.8386536,mainCarriageway,74
52.361134,4.731998,mainCarriageway,75
52.32743,5.005341,connectingCarriageway,76
52.320854,4.915121,mainCarriageway,77
52.328297,5.0055065,connectingCarriageway,78
52.342712,4.9545374,mainCarriageway,79
52.31816,4.9976993,mainCarriageway,80
52.324795,5.0049095,mainCarriageway,81
52.361362,4.968769,mainCarriageway,82
52.3539,4.745085,parallelCarriageway,83
52.35512,4.7438073,connectingCarriageway,84
52.326286,4.7884746,parallelCarriageway,85
52.323524,4.766582,mainCarriageway,86
52.34785,4.7569447,mainCarriageway,87
52.342842,4.7642922,entrySlipRoad,88
52.316486,4.811071,mainCarriageway,89
52.313156,4.8152003,mainCarriageway,90
52.45002,4.6593256,exitSlipRoad,91
52.449978,4.656863,mainCarriageway,92
52.441006,4.6518273,mainCarriageway,93
52.455723,4.6557665,entrySlipRoad,94
52.458424,4.657279,mainCarriageway,95
52.459427,4.834873,mainCarriageway,96
52.308483,4.971568,exitSlipRoad,97
52.30832,4.971051,entrySlipRoad,98
52.47819,4.6580033,mainCarriageway,99
52.476696,4.656322,mainCarriageway,100
52.482384,4.670586,mainCarriageway,101
52.480125,4.6610966,mainCarriageway,102
52.499924,4.910991,mainCarriageway,103
52.50434,4.935333,entrySlipRoad,104
52.449444,4.6596107,mainCarriageway,105
52.492123,4.8908134,mainCarriageway,106
52.496475,4.9019837,mainCarriageway,107
52.44739,4.660858,mainCarriageway,108
52.48937,4.8837037,mainCarriageway,109
52.505188,4.9325585,entrySlipRoad,110
52.47368,4.8531046,mainCarriageway,111
52.480476,4.86071,mainCarriageway,112
52.465565,4.8498106,mainCarriageway,113
52.476604,4.8557234,entrySlipRoad,114
52.474617,4.683483,mainCarriageway,115
52.463593,4.673744,mainCarriageway,116
52.385403,4.707164,mainCarriageway,117
52.40201,4.704494,mainCarriageway,118
52.28422,4.7217646,parallelCarriageway,119
52.275448,4.709188,parallelCarriageway,120
52.407425,4.939255,mainCarriageway,121
52.395878,4.961901,mainCarriageway,122
52.48131,4.8635707,mainCarriageway,123
52.47041,4.851975,mainCarriageway,124
52.484333,4.871359,mainCarriageway,125
52.47571,4.853276,entrySlipRoad,126
52.498318,4.9075036,mainCarriageway,127
52.493317,4.894592,mainCarriageway,128
52.501167,4.9148464,mainCarriageway,129
52.49692,4.895241,entrySlipRoad,130
52.50333,4.9253197,mainCarriageway,131
52.310684,4.9254713,mainCarriageway,132
52.27742,4.9552846,mainCarriageway,133
52.50341,4.9284935,mainCarriageway,134
52.307247,4.929035,mainCarriageway,135
52.49273,4.90041,entrySlipRoad,136
52.334293,4.9983435,mainCarriageway,137
52.32473,5.0050726,mainCarriageway,138
52.331573,5.04891,mainCarriageway,139
52.33201,5.0466776,mainCarriageway,140
52.331165,5.0520134,exitSlipRoad,141
52.33264,5.0070076,mainCarriageway,142
52.29915,4.9368305,mainCarriageway,143
52.283955,4.9498134,mainCarriageway,144
52.315853,4.9195437,mainCarriageway,145
52.302376,4.9337583,parallelCarriageway,146
52.28188,4.9513135,mainCarriageway,147
52.301895,4.953323,mainCarriageway,148
52.306026,4.9652195,entrySlipRoad,149
52.30841,4.971351,exitSlipRoad,150
52.30337,4.95762,mainCarriageway,151
52.31405,4.9884973,exitSlipRoad,152
52.293728,4.942102,parallelCarriageway,153
52.286545,4.92834,mainCarriageway,154
52.32999,5.0545807,mainCarriageway,155
52.335743,4.993778,parallelCarriageway,156
52.337997,4.9894195,entrySlipRoad,157
52.280003,4.95258,mainCarriageway,158
52.285934,4.939525,mainCarriageway,159
52.338364,4.8694572,mainCarriageway,160
52.339123,4.858433,entrySlipRoad,161
52.2935,4.731117,mainCarriageway,162
52.30675,4.731863,mainCarriageway,163
52.441032,4.8579216,mainCarriageway,164
