startLocatieForDisplayLat,startLocatieForDisplayLong,metaType,coordinateID
52.30485,4.9619155,Road,1
52.324356,5.0047064,Road,2
52.446587,4.661537,Road,3
52.450794,4.658816,Road,4
52.445854,4.6624136,Road,5
52.471237,4.679963,Road,6
52.35799,4.8423805,Road,7
52.36205,4.842248,Road,8
52.34869,4.8412914,Road,9
52.358456,4.8425894,Road,10
52.36294,4.8424764,Road,11
52.28855,4.7277584,Road,12
52.32812,4.7966614,Road,13
52.29577,4.937843,Road,14
52.359264,4.7340403,Road,15
52.32773,4.789532,Road,16
52.321194,5.002257,Road,17
52.3329,5.0044456,Road,18
52.436234,4.6724343,Road,19
52.47199,4.6523247,Road,20
52.489788,4.6952972,Road,21
52.475155,4.655017,Road,22
52.45426,4.657246,Road,23
52.314117,4.921398,Road,24
52.421986,4.87217,Road,25
52.430492,4.869139,Road,26
52.421516,4.8716106,Road,27
52.393345,4.8014736,Road,28
52.409126,4.859683,Road,29
52.374725,4.8428597,Road,30
52.384254,4.844732,Road,31
52.281242,4.7165036,Road,32
52.289326,4.7278595,Road,33
52.29642,4.7309732,Road,34
52.296593,4.730979,Road,35
52.291645,4.7318964,Road,36
52.26374,4.6919017,Road,37
52.401302,4.851094,Road,38
52.431763,4.8645253,Road,39
52.422504,4.8737116,Road,40
52.432514,4.865714,Road,41
52.390533,4.8444,Road,42
52.391075,4.843509,Road,43
52.31206,4.750209,Road,44
52.299,4.741909,Road,45
52.285618,4.7232404,Road,46
52.320576,4.7582216,Road,47
52.332092,4.802002,Road,48
52.31349,4.751095,Road,49
52.3094,4.7494483,Road,50
52.333477,4.80427,Road,51
52.33126,4.7906694,Road,52
52.327488,4.797863,Road,53
52.32989,4.797129,Road,54
52.322937,4.763042,Road,55
52.347996,4.735711,Road,56
52.3274,4.79803,Road,57
52.331093,4.7904134,Road,58
52.323395,4.8039255,Road,59
52.34936,4.73625,Road,60
52.354256,4.741254,Road,61
52.354717,4.7380714,Road,62
52.38008,4.7080274,Road,63
52.32811,4.7923374,Road,64
52.32629,4.7884808,Road,65
52.44163,4.667947,Road,66
52.4676,4.6766763,Road,67
52.32835,4.7962327,Road,68
52.35719,4.738944,Road,69
52.459038,4.846776,Road,70
52.31803,4.809657,Road,71
52.33173,4.8002567,Road,72
52.38336,4.844133,Road,73
52.384865,4.8386536,Road,74
52.361134,4.731998,Road,75
52.32743,5.005341,Road,76
52.320854,4.915121,Road,77
52.328297,5.0055065,Road,78
52.342712,4.9545374,Road,79
52.31816,4.9976993,Road,80
52.324795,5.0049095,Road,81
52.361362,4.968769,Road,82
52.3539,4.745085,Road,83
52.35512,4.7438073,Road,84
52.326286,4.7884746,Road,85
52.323524,4.766582,Road,86
52.34785,4.7569447,Road,87
52.342842,4.7642922,Road,88
52.316486,4.811071,Road,89
52.313156,4.8152003,Road,90
52.45002,4.6593256,Road,91
52.449978,4.656863,Road,92
52.441006,4.6518273,Road,93
52.455723,4.6557665,Road,94
52.458424,4.657279,Road,95
52.459427,4.834873,Road,96
52.308483,4.971568,Road,97
52.30832,4.971051,Road,98
52.47819,4.6580033,Road,99
52.476696,4.656322,Road,100
52.482384,4.670586,Road,101
52.480125,4.6610966,Road,102
52.499924,4.910991,Road,103
52.50434,4.935333,Road,104
52.449444,4.6596107,Road,105
52.492123,4.8908134,Road,106
52.496475,4.9019837,Road,107
52.44739,4.660858,Road,108
52.48937,4.8837037,Road,109
52.505188,4.9325585,Road,110
52.47368,4.8531046,Road,111
52.480476,4.86071,Road,112
52.465565,4.8498106,Road,113
52.476604,4.8557234,Road,114
52.474617,4.683483,Road,115
52.463593,4.673744,Road,116
52.385403,4.707164,Road,117
52.40201,4.704494,Road,118
52.28422,4.7217646,Road,119
52.275448,4.709188,Road,120
52.407425,4.939255,Road,121
52.395878,4.961901,Road,122
52.48131,4.8635707,Road,123
52.47041,4.851975,Road,124
52.484333,4.871359,Road,125
52.47571,4.853276,Road,126
52.498318,4.9075036,Road,127
52.493317,4.894592,Road,128
52.501167,4.9148464,Road,129
52.49692,4.895241,Road,130
52.50333,4.9253197,Road,131
52.310684,4.9254713,Road,132
52.27742,4.9552846,Road,133
52.50341,4.9284935,Road,134
52.307247,4.929035,Road,135
52.49273,4.90041,Road,136
52.334293,4.9983435,Road,137
52.32473,5.0050726,Road,138
52.331573,5.04891,Road,139
52.33201,5.0466776,Road,140
52.331165,5.0520134,Road,141
52.33264,5.0070076,Road,142
52.29915,4.9368305,Road,143
52.283955,4.9498134,Road,144
52.315853,4.9195437,Road,145
52.302376,4.9337583,Road,146
52.28188,4.9513135,Road,147
52.301895,4.953323,Road,148
52.306026,4.9652195,Road,149
52.30841,4.971351,Road,150
52.30337,4.95762,Road,151
52.31405,4.9884973,Road,152
52.293728,4.942102,Road,153
52.286545,4.92834,Road,154
52.32999,5.0545807,Road,155
52.335743,4.993778,Road,156
52.337997,4.9894195,Road,157
52.280003,4.95258,Road,158
52.285934,4.939525,Road,159
52.338364,4.8694572,Road,160
52.339123,4.858433,Road,161
52.2935,4.731117,Road,162
52.30675,4.731863,Road,163
52.441032,4.8579216,Road,164
52.338276,4.8243084,Road,165
52.338463,4.8119707,Road,166
52.301662,4.8551025,Road,167
52.307625,4.826984,Road,168
52.298367,4.9362383,Road,169
52.377308,4.7084436,Road,170
52.38384,4.706176,Road,171
52.456726,4.8398757,Road,172
52.45876,4.8362017,Road,173
52.28893,4.944152,Road,174
52.311256,4.7493234,Road,175
52.330765,4.797145,Road,176
52.30035,4.9489093,Road,177
52.27417,4.9576735,Road,178
52.332165,5.0266294,Road,179
52.383404,4.6850553,Road,180
52.384186,4.7842903,Road,181
52.384075,4.6929693,Road,182
52.402878,4.8521786,Road,183
52.269146,4.960362,Road,184
52.26715,4.9606442,Road,185
52.38518,4.748831,Road,186
52.27906,4.953994,Road,187
52.3284,4.7957296,Road,188
52.3162,4.8110847,Road,189
52.33294,5.004099,Road,190
52.402447,4.852077,Road,191
52.289654,4.945232,Road,192
52.30391,4.9325166,Road,193
52.462166,4.817918,Road,194
52.459667,4.8474984,Road,195
52.446144,4.8521748,Road,196
52.392612,4.809335,Road,197
52.418606,4.9125433,Road,198
52.47313,4.7759156,Road,199
52.389645,4.84464,Road,200
52.39321,4.843917,Road,201
52.394127,4.8439097,Road,202
52.41859,4.8679514,Road,203
52.42129,4.873537,Road,204
52.42656,4.8750634,Road,205
52.42528,4.87495,Road,206
52.288227,4.7270246,Road,207
52.318676,4.7549453,Road,208
52.384983,4.708187,Road,209
52.384926,4.7082806,Road,210
52.34136,4.7700777,Road,211
52.34431,4.7668552,Road,212
52.29857,4.948188,Road,213
52.322342,4.9142675,Road,214
52.327927,4.793659,Road,215
52.314056,4.9214635,Road,216
52.30576,4.9305964,Road,217
52.32688,4.7874837,Road,218
52.31614,4.9937596,Road,219
52.314354,4.9895883,Road,220
52.502544,4.702429,Road,221
52.358017,4.7405686,Road,222
52.326614,4.7860994,Road,223
52.424545,4.8954406,Road,224
52.315273,4.991799,Road,225
52.37585,4.8430953,Road,226
52.39346,4.798665,Road,227
52.326023,4.9141755,Road,228
52.464912,4.803937,Road,229
52.422127,4.690388,Road,230
52.424847,4.891116,Road,231
52.424805,4.894882,Road,232
52.38368,4.8445306,Road,233
52.424736,4.8847218,Road,234
52.474705,4.683314,Road,235
52.403164,4.851352,Road,236
52.392307,4.8449826,Road,237
52.424152,4.882264,Road,238
52.39822,4.846805,Road,239
52.400177,4.84769,Road,240
52.424637,4.8843946,Road,241
52.404343,4.8538527,Road,242
52.407833,4.85807,Road,243
52.40021,4.847734,Road,244
52.401684,4.849922,Road,245
52.345753,4.7611556,Road,246
52.42493,4.8935156,Road,247
52.431267,4.8684006,Road,248
52.422543,4.8740654,Road,249
52.291656,4.7319155,Road,250
52.35195,4.74935,Road,251
52.383324,4.6838875,Road,252
52.384865,4.7118335,Road,253
52.338867,4.8301306,Road,254
52.270836,4.7064986,Road,255
52.42732,4.873316,Road,256
52.43181,4.868391,Road,257
52.423927,4.879505,Road,258
52.43363,4.8662395,Road,259
52.419674,4.8701916,Road,260
52.4236,4.8781204,Road,261
52.389637,4.8440285,Road,262
52.391376,4.8449597,Road,263
52.432743,4.8667216,Road,264
52.475323,4.6841373,Road,265
52.375416,4.8429112,Road,266
52.30766,4.971764,Road,267
52.264183,4.963193,Road,268
52.260986,4.9650764,Road,269
52.269222,4.9603252,Road,270
52.263866,4.9619427,Road,271
52.325237,4.7768164,Road,272
52.351185,4.750171,Road,273
52.362335,4.7297735,Road,274
52.35469,4.744256,Road,275
52.45272,4.8442125,Road,276
52.457703,4.8413453,Road,277
52.457924,4.8381705,Road,278
52.327744,5.005527,Road,279
52.314445,4.9214134,Road,280
52.28971,4.7279634,Road,281
52.28526,4.722257,Road,282
52.42363,4.878077,Road,283
52.288574,4.726989,Road,284
52.32357,4.8036895,Road,285
52.40786,4.942862,Road,286
52.42775,4.872409,Road,287
52.44296,4.8557534,Road,288
52.401745,4.851176,Road,289
52.314835,4.8152666,Road,290
52.37777,4.7086287,Road,291
52.39336,4.797081,Road,292
52.39335,4.7949657,Road,293
52.29233,4.942,Road,294
52.307182,4.9287486,Road,295
52.29422,4.9405932,Road,296
52.302967,4.956429,Road,297
52.288548,4.7269473,Road,298
52.299614,4.946696,Road,299
52.30133,4.952182,Road,300
52.30533,4.963924,Road,301
52.454983,4.834511,Road,302
52.462215,4.816347,Road,303
52.280216,4.953074,Road,304
52.286263,4.9485536,Road,305
52.290604,4.9430857,Road,306
52.31118,4.7496634,Road,307
52.3281,4.7958927,Road,308
52.33237,5.0261965,Road,309
52.311024,4.7491903,Road,310
52.450684,4.8471212,Road,311
52.302258,4.93446,Road,312
52.314728,4.8127584,Road,313
52.343662,4.9557586,Road,314
52.319786,4.9161553,Road,315
52.316338,4.9194064,Road,316
52.32869,4.794787,Road,317
52.30063,4.9463205,Road,318
52.33175,4.8002877,Road,319
52.35165,4.749609,Road,320
52.361645,4.7443933,Road,321
52.334167,4.8043327,Road,322
52.296104,4.738369,Road,323
52.30835,4.7478127,Road,324
52.33282,4.7875075,Road,325
52.28957,4.7296853,Road,326
52.33174,4.8002777,Road,327
52.4062,4.856045,Road,328
52.422638,4.8743653,Road,329
52.405453,4.855337,Road,330
52.405903,4.8563604,Road,331
52.28963,4.945037,Road,332
52.287075,4.9468884,Road,333
52.308205,4.9276843,Road,334
52.298805,4.8804502,Road,335
52.505325,4.934492,Road,336
52.26236,4.9635797,Road,337
52.26698,4.96074,Road,338
52.26471,4.9640155,Road,339
52.45812,4.8458085,Road,340
52.454674,4.836032,Road,341
52.45802,4.844859,Road,342
52.455452,4.841231,Road,343
52.463234,4.8110375,Road,344
52.287876,4.943292,Road,345
52.284046,4.949726,Road,346
52.30411,4.745399,Road,347
52.330803,5.004925,Road,348
52.329174,5.005843,Road,349
52.299076,4.741541,Road,350
52.30466,4.7454557,Road,351
52.436497,4.862677,Road,352
52.400024,4.847506,Road,353
52.29896,4.741875,Road,354
52.33382,4.9995594,Road,355
52.33951,4.9858484,Road,356
52.329826,5.0551014,Road,357
52.438107,4.670355,Road,358
52.383945,4.753304,Road,359
52.31051,4.8193045,Road,360
52.299488,4.8642373,Road,361
52.306145,4.833153,Road,362
52.301895,4.8561254,Road,363
52.457973,4.837809,Road,364
52.294018,4.8931265,Road,365
52.295094,4.8897023,Road,366
52.303574,4.8493037,Road,367
52.453228,4.844289,Road,368
52.45462,4.8426995,Road,369
52.453163,4.8441186,Road,370
52.456127,4.8407197,Road,371
52.4604,4.8479395,Road,372
52.45502,4.840091,Road,373
52.4569,4.839885,Road,374
52.45596,4.8411446,Road,375
52.331764,5.0052342,Road,376
52.33,5.0054817,Road,377
52.328014,4.734032,Road,378
52.338215,4.8323894,Road,379
52.333138,5.0015507,Road,380
52.313293,4.7324667,Road,381
52.384262,4.8445034,Road,382
52.332333,5.028117,Road,383
52.436428,4.863114,Road,384
52.33231,5.030542,Road,385
52.268456,4.698678,Road,386
52.38872,4.8444786,Road,387
52.279175,4.953199,Road,388
52.288574,4.7269864,Road,389
52.401505,4.8493013,Road,390
52.355133,4.965224,Road,391
52.386707,4.7327905,Road,392
52.420437,4.9084854,Road,393
52.332375,4.9297585,Road,394
52.300507,4.948824,Road,395
52.30113,4.9491715,Road,396
52.502842,4.9190793,Road,397
52.477924,4.8561025,Road,398
52.45743,4.844842,Road,399
52.33804,4.8627925,Road,400
52.337143,4.8458495,Road,401
52.337425,4.8511705,Road,402
52.47253,4.681016,Road,403
52.463634,4.6735306,Road,404
52.47316,4.683801,Road,405
52.44216,4.6677265,Road,406
52.5033,4.92348,Road,407
52.313236,4.983484,Road,408
52.3104,4.978219,Road,409
52.48054,4.6882176,Road,410
52.46949,4.678293,Road,411
52.316566,4.9946513,Road,412
52.475056,4.68124,Road,413
52.487926,4.694103,Road,414
52.493004,4.893766,Road,415
52.434727,4.6740413,Road,416
52.447655,4.6608386,Road,417
52.438107,4.6703506,Road,418
52.456833,4.843743,Road,419
52.33184,5.051926,Road,420
52.454884,4.8344336,Road,421
52.291656,4.9006886,Road,422
52.472843,4.8527665,Road,423
52.30967,4.929762,Road,424
52.298985,4.940927,Road,425
52.503277,4.9269853,Road,426
52.475998,4.855348,Road,427
52.45614,4.842237,Road,428
52.35163,4.749642,Road,429
52.456173,4.8408756,Road,430
52.451397,4.8463287,Road,431
52.50501,4.9322696,Road,432
52.326595,4.7995543,Road,433
52.324657,5.005049,Road,434
52.48724,4.693189,Road,435
52.487446,4.6937027,Road,436
52.48593,4.692382,Road,437
52.47455,4.6556535,Road,438
52.475933,4.6555624,Road,439
52.291046,4.7293253,Road,440
52.332134,5.027523,Road,441
52.39342,4.8020782,Road,442
52.392036,4.8013935,Road,443
52.384182,4.6944423,Road,444
52.331825,4.931096,Road,445
52.33196,4.9278636,Road,446
52.288628,4.9475136,Road,447
52.33001,4.9216576,Road,448
52.3861,4.742453,Road,449
52.329876,4.921271,Road,450
52.332275,4.928283,Road,451
52.38604,4.7438645,Road,452
52.466187,4.7980456,Road,453
52.3848,4.841291,Road,454
52.406055,4.943493,Road,455
52.408585,4.701843,Road,456
52.34015,4.841748,Road,457
52.290264,4.945078,Road,458
52.3797,4.8447924,Road,459
52.33797,4.8455987,Road,460
52.383835,4.708398,Road,461
52.32634,4.787902,Road,462
52.388092,4.8445134,Road,463
52.366325,4.8421164,Road,464
52.411533,4.928823,Road,465
52.375973,4.708902,Road,466
52.350838,4.8422513,Road,467
52.34954,4.7535214,Road,468
52.344433,4.84088,Road,469
52.407913,4.937991,Road,470
