roadID,probabilityOfOccurrence,operatorActionStatus,sourceName,date,hour
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,00
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,01
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,02
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,03
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,04
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,05
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,06
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,07
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,08
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,09
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,10
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,11
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,12
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,13
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,14
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,15
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,16
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,17
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,18
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,19
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,20
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,21
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,22
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,23
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,00
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,01
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,02
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,03
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,04
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,05
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,06
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,07
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,08
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,09
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,10
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,11
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,12
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,13
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,14
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,15
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,16
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,17
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,18
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,19
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,20
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,21
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,22
13,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,23
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,00
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,01
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,02
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,03
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,04
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,05
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,06
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,07
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,08
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,09
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,10
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,11
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,12
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,13
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,14
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,15
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,16
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,17
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,18
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,19
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,20
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,21
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,22
15,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,23
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,00
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,01
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,02
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,03
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,04
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,05
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,06
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,07
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,08
