measurementSiteReference,index,specificVehicleCharacteristics,startLocatieForDisplayLat,startLocatieForDisplayLong,ROADNUMBER,trafficID
GEO02_PNHTI503,1C,greaterThan 1.85 and lessThanOrEqualTo 2.40,52.3398,4.6358,N201,1
GEO02_PNHTI503,2C,greaterThan 2.40 and lessThanOrEqualTo 5.60,52.3398,4.6358,N201,2
GEO02_PNHTI503,3C,greaterThan 5.60 and lessThanOrEqualTo 11.50,52.3398,4.6358,N201,3
GEO02_PNHTI503,4C,greaterThan 11.50 and lessThanOrEqualTo 12.20,52.3398,4.6358,N201,4
GEO02_PNHTI503,5C,greaterThan 12.20,52.3398,4.6358,N201,5
GEO02_PNHTI503,6C,anyVehicle,52.3398,4.6358,N201,6
GEO02_PNHTI503,13C,greaterThan 1.85 and lessThanOrEqualTo 2.40,52.3398,4.6358,N201,7
GEO02_PNHTI503,14C,greaterThan 2.40 and lessThanOrEqualTo 5.60,52.3398,4.6358,N201,8
GEO02_PNHTI503,15C,greaterThan 5.60 and lessThanOrEqualTo 11.50,52.3398,4.6358,N201,9
GEO02_PNHTI503,16C,greaterThan 11.50 and lessThanOrEqualTo 12.20,52.3398,4.6358,N201,10
GEO02_PNHTI503,17C,greaterThan 12.20,52.3398,4.6358,N201,11
GEO02_PNHTI503,18C,anyVehicle,52.3398,4.6358,N201,12
GEO02_PNHTI503r,1C,greaterThan 1.85 and lessThanOrEqualTo 2.40,52.3398,4.6358,N201,13
GEO02_PNHTI503r,2C,greaterThan 2.40 and lessThanOrEqualTo 5.60,52.3398,4.6358,N201,14
GEO02_PNHTI503r,3C,greaterThan 5.60 and lessThanOrEqualTo 11.50,52.3398,4.6358,N201,15
GEO02_PNHTI503r,4C,greaterThan 11.50 and lessThanOrEqualTo 12.20,52.3398,4.6358,N201,16
GEO02_PNHTI503r,5C,greaterThan 12.20,52.3398,4.6358,N201,17
GEO02_PNHTI503r,6C,anyVehicle,52.3398,4.6358,N201,18
GEO02_PNHTI503r,13C,greaterThan 1.85 and lessThanOrEqualTo 2.40,52.3398,4.6358,N201,19
GEO02_PNHTI503r,14C,greaterThan 2.40 and lessThanOrEqualTo 5.60,52.3398,4.6358,N201,20
