measurementSiteReference,generatedSiteName,carriageway,startLocatieForDisplayLat,startLocatieForDisplayLong,eindLocatieForDisplayLat,eindLocatieForDisplayLong,alertCDirectionCoded,ROADNUMBER,LocationTableNumber,LocationTableVersion,specificLocation,offsetDistance,LOC_TYPE,LOC_DES,measurementSiteNumberOfLanes,primaryLocation_specificLocation,primaryLocation_offsetDistance,secondaryLocation_specificLocation,secondaryLocation_offsetDistance,ROADNUMBER_PRIM,lengthAffected
GAD01_MOA_Route002,Nog niet gegenereerd,,52.3945,4.8638,52.4016,4.84863,negative,s101,5.11,A,25219,0,P1.11,Kruising,1,10791,3540,25218,260,N203,1299
GAD01_MOA_Route003,Nog niet gegenereerd,,52.393,4.87102,52.3906,4.8851,positive,s101,5.11,A,25217,0,P1.11,Kruising,1,25601,40,25218,285,s100,1036
GAD01_MOA_Route004,Nog niet gegenereerd,,52.3908,4.88483,52.3945,4.8638,negative,s101,5.11,A,25219,1235,P1.11,Kruising,1,25219,1235,25217,10,s101,1543
GAD01_MOA_Route005,Nog niet gegenereerd,,52.3927,4.86273,52.3914,4.84342,negative,s102,5.11,A,25221,0,P1.11,Kruising,1,7209,290,25222,245,A10,1388
GAD01_MOA_Route006,Nog niet gegenereerd,,52.3916,4.84536,52.393,4.87102,positive,s102,5.11,A,25222,0,P1.3,Afrit,1,25217,1015,25221,75,s101,1762
GAD01_MOA_Route007,Nog niet gegenereerd,,52.3914,4.81945,52.3922,4.84502,positive,s102,5.11,A,25221,0,P1.11,Kruising,1,7209,410,25220,30,A10,1800
GAD01_MOA_Route008,Nog niet gegenereerd,,52.3844,4.81923,52.3849,4.84713,positive,s103,5.11,A,25459,25,P1.11,Kruising,1,25459,25,25224,35,s103,1911
GAD01_MOA_Route009,Nog niet gegenereerd,,52.3849,4.84713,52.385,4.88168,positive,s103,5.11,A,25227,0,P1.3,Afrit,1,25602,30,25225,165,v100-CR2,2365
GAD01_MOA_Route010,Nog niet gegenereerd,,52.3852,4.88102,52.3844,4.84391,negative,s103,5.11,A,25225,0,P1.11,Kruising,1,7208,320,25227,35,A10,2584
GAD01_MOA_Route017,Nog niet gegenereerd,,52.3379,4.89211,52.3587,4.9034,positive,s109,5.11,A,25273,0,P1.3,Afrit,1,25209,880,25272,40,s100,3760
GAD01_MOA_Route018,Nog niet gegenereerd,,52.3579,4.90416,52.3338,4.89061,negative,s110,5.11,A,25276,0,P1.11,Kruising,1,7198,550,25279,90,A10,4188
GAD01_MOA_Route019,Nog niet gegenereerd,,52.3378,4.91068,52.3604,4.9085,positive,s110,5.11,A,25279,0,P1.3,Afrit,1,25450,110,25275,450,s112,3151
GAD01_MOA_Route020,Nog niet gegenereerd,,52.3579,4.90416,52.3348,4.91215,negative,s110,5.11,A,25275,105,P1.11,Kruising,1,25275,105,25279,90,s110,2983
GAD01_MOA_Route021,Nog niet gegenereerd,,52.3398,4.93764,52.3487,4.9184,positive,s112,5.11,A,25298,1470,P1.3,Afrit,1,25298,1470,25295,440,s112,1757
GAD01_MOA_Route022,Nog niet gegenereerd,,52.3482,4.9197,52.3362,4.94292,negative,s112,5.11,A,25295,0,P1.11,Kruising,1,7190,300,25297,55,A10,2202
GAD01_MOA_Route023,Nog niet gegenereerd,,52.3487,4.9184,52.3604,4.9085,positive,s112,5.11,A,25450,105,P1.11,Kruising,1,25450,105,25297,65,s112,1495
GAD01_MOA_Route024,Nog niet gegenereerd,,52.3599,4.90865,52.3482,4.9197,negative,s112,5.11,A,25296,635,P1.11,Kruising,1,25296,635,25298,35,s112,1556
GAD01_MOA_Route028,Nog niet gegenereerd,,52.3725,4.93439,52.368,4.97036,negative,s114,5.11,A,25305,0,P1.11,Kruising,1,7185,600,25307,45,A10,2683
GAD01_MOA_Route029,Nog niet gegenereerd,,52.4059,4.93706,52.3861,4.91332,positive,s116,5.11,A,25314,805,P1.3,Afrit,1,25314,805,25311,230,s116,2762
GAD01_MOA_Route030,Nog niet gegenereerd,,52.386,4.91345,52.4076,4.93916,negative,s116,5.11,A,25311,0,P1.11,Kruising,1,7182,300,25314,810,A10,3671
