filename,situationNumber,situationRecordNumber,situationRecordCreationTime,situationRecordVersionTime,probabilityOfOccurrence,sourceName,validityStatus,validity_overallStartTime,validity_overallEndTime,location_locationForDisplay_latitude,location_locationForDisplay_longitude,location_carriageway,management_lifeCycleManagement_cancel,operatorActionStatus
20160601000013.xml,1,1,2016-03-29T09:34:55Z,2016-03-29T09:38:09Z,certain,ON-O [RWS Oost-Nederland District Oost],definedByValidityTimeSpec,2016-05-31T20:00:00Z,2016-05-31T22:00:00Z,52.288128,6.9267654,mainCarriageway,true,approved
20160601000013.xml,1,2,2016-03-29T09:34:55Z,2016-03-29T09:38:09Z,certain,ON-O [RWS Oost-Nederland District Oost],definedByValidityTimeSpec,2016-05-31T20:00:00Z,2016-05-31T22:00:00Z,52.288128,6.9267654,mainCarriageway,true,approved
20160601000013.xml,1,3,2016-03-29T09:34:55Z,2016-03-29T09:38:09Z,certain,ON-O [RWS Oost-Nederland District Oost],definedByValidityTimeSpec,2016-05-31T20:00:00Z,2016-05-31T22:00:00Z,52.288517,6.921826,exitSlipRoad,true,approved
20160601000013.xml,2,1,2016-05-09T09:57:56Z,2016-05-18T07:04:07Z,certain,MN-Z [RWS Midden-Nederland District Zuid],definedByValidityTimeSpec,2016-05-31T19:00:00Z,2016-05-31T22:00:00Z,51.944134,5.1433635,mainCarriageway,true,approved
20160601000013.xml,2,2,2016-05-09T09:57:56Z,2016-05-18T07:04:07Z,certain,MN-Z [RWS Midden-Nederland District Zuid],definedByValidityTimeSpec,2016-05-31T19:00:00Z,2016-05-31T22:00:00Z,51.944134,5.1433635,mainCarriageway,true,approved
20160601000013.xml,2,3,2016-05-09T09:57:56Z,2016-05-18T07:04:07Z,certain,MN-Z [RWS Midden-Nederland District Zuid],definedByValidityTimeSpec,2016-05-31T19:00:00Z,2016-05-31T22:00:00Z,51.944134,5.1433635,mainCarriageway,true,approved
20160601000013.xml,3,1,2016-05-11T09:35:45Z,2016-05-13T14:26:19Z,certain,ZN-ZO [RWS Zuid-Nederland District Zuid-Oost],definedByValidityTimeSpec,2016-05-31T19:00:00Z,2016-05-31T22:00:00Z,51.112473,5.8644047,mainCarriageway,true,approved
20160601000013.xml,3,2,2016-05-11T09:35:45Z,2016-05-13T14:26:19Z,certain,ZN-ZO [RWS Zuid-Nederland District Zuid-Oost],definedByValidityTimeSpec,2016-05-31T19:00:00Z,2016-05-31T22:00:00Z,51.112473,5.8644047,mainCarriageway,true,approved
20160601000013.xml,3,3,2016-05-11T09:35:45Z,2016-05-13T14:26:19Z,certain,ZN-ZO [RWS Zuid-Nederland District Zuid-Oost],definedByValidityTimeSpec,2016-05-31T19:00:00Z,2016-05-31T22:00:00Z,51.112473,5.8644047,mainCarriageway,true,approved
20160601000020.xml,1,1,2016-05-11T11:50:49Z,2016-05-31T22:00:09Z,certain,NN-O [RWS Noord Nederland District Oost],definedByValidityTimeSpec,2016-05-31T20:02:58Z,2016-05-31T22:00:09Z,53.171017,6.897722,mainCarriageway,,approved
20160601000020.xml,1,2,2016-05-11T11:50:49Z,2016-05-31T22:00:09Z,certain,NN-O [RWS Noord Nederland District Oost],definedByValidityTimeSpec,2016-05-31T20:02:58Z,2016-05-31T22:00:09Z,53.171017,6.897722,mainCarriageway,,approved
20160601000020.xml,1,3,2016-05-11T11:50:49Z,2016-05-31T22:00:09Z,certain,NN-O [RWS Noord Nederland District Oost],definedByValidityTimeSpec,2016-05-31T20:02:58Z,2016-05-31T22:00:09Z,53.171017,6.897722,mainCarriageway,,approved
20160601000045.xml,1,1,2016-04-12T07:22:54Z,2016-05-31T22:00:41Z,certain,WNZ-N [RWS West-Nederland Zuid District Noord],definedByValidityTimeSpec,2016-05-31T21:21:01Z,2016-05-31T22:00:40Z,51.907078,4.5405087,mainCarriageway,,approved
20160601000045.xml,1,2,2016-04-12T07:22:54Z,2016-05-31T22:00:41Z,certain,WNZ-N [RWS West-Nederland Zuid District Noord],definedByValidityTimeSpec,2016-05-31T21:21:01Z,2016-05-31T22:00:40Z,51.907078,4.5405087,mainCarriageway,,approved
