startLocatieForDisplayLat,startLocatieForDisplayLong
52.2563,4.78288
52.2567,4.8192
52.2569,4.81936
52.2578,4.77092
52.2581,4.82868
52.2588,4.6843
52.2589,4.6849
52.259,4.96597
52.2615,4.6886
52.2616,4.68833
52.2625,4.96349
52.2641,4.96326
52.2643,4.69276
52.2646,4.69262
52.2648,4.96181
52.2648,4.96425
52.2649,4.962
52.2672,4.96064
52.2673,4.69657
52.2674,4.96049
52.2685,4.69876
52.2685,4.69881
52.2685,4.80288
52.2692,4.96036
52.2694,4.69936
52.2694,4.69953
52.2713,4.70188
52.2717,4.70384
52.2718,4.70393
52.2719,4.70356
52.2724,4.95809
52.2726,4.95794
52.2727,4.7043
52.2731,4.70664
52.2733,4.78438
52.2734,4.7847
52.2736,4.70652
52.2738,4.70541
52.2742,4.95768
52.2749,4.70633
52.2753,4.70843
52.2765,4.70972
52.2766,4.7094
52.2768,4.71117
52.2773,4.95468
52.2777,5.05173
52.2786,4.71226
52.2788,4.7277
52.2791,4.71452
52.2791,4.71345
52.2792,4.95392
52.2793,4.7142
52.2794,4.95376
52.2804,4.71741
52.2811,4.71732
52.2812,4.7165
52.2819,4.95132
52.2819,4.95108
52.2819,4.95105
52.2821,4.71728
52.2825,4.95212
52.2825,4.95129
52.2825,4.95158
52.2825,4.95157
52.2826,4.95123
52.2828,4.71926
52.2843,4.72182
52.2848,4.73054
52.2849,4.73065
52.2852,4.72173
52.2853,4.72226
52.2854,4.94838
52.2854,4.72291
52.2857,4.94866
52.2859,4.94817
52.286,4.93854
52.2861,4.93402
52.2862,4.72245
52.2863,4.93412
52.2864,4.93436
52.2864,4.72487
52.2864,4.92979
52.2865,4.75879
52.2867,4.94175
52.2867,4.92689
52.2867,4.75849
52.2869,4.92617
52.2872,4.94739
52.2873,4.94668
52.2875,4.72489
52.2878,4.91787
52.288,4.72724
52.288,4.918
52.2881,4.91726
52.2881,4.91733
52.2886,4.72749
52.2888,4.72738
52.2893,4.72786
52.2895,4.90922
52.2896,4.94503
52.2896,4.90932
52.2897,4.94523
52.2897,4.7279
52.2897,4.72917
52.2899,4.73093
52.29,4.73044
52.2905,4.72989
52.2907,4.94305
52.2911,4.72991
52.2912,4.72932
52.2912,5.07479
52.2916,4.73189
52.2916,4.90095
52.2917,4.9011
52.2919,4.73297
52.2921,4.94348
52.2923,4.942
52.2927,4.73206
52.2928,4.73316
52.2932,4.73238
52.2934,4.73058
52.2935,4.73112
52.2936,4.94224
52.2936,4.73472
52.2936,4.73467
52.294,4.89312
52.2942,4.89325
52.2946,4.73566
52.2947,4.73555
52.2952,4.94027
52.2952,4.88856
52.2953,4.88862
52.2955,4.9408
52.2955,4.73096
52.2955,4.73105
52.2956,4.94007
52.2956,4.73129
52.2958,4.73793
52.2958,5.05763
52.2961,4.73837
52.2962,4.88222
52.2962,4.79335
52.2963,4.88237
52.2963,4.79303
52.2964,4.88221
52.2965,4.93786
52.2965,4.73839
52.297,4.94163
52.2971,4.87495
52.2971,4.87494
52.2972,4.87467
52.2974,4.93587
52.2974,4.87478
52.2981,4.73108
52.2981,4.86995
52.2982,4.7411
52.2982,4.7313
52.2985,4.89119
52.2986,4.74153
52.2988,4.93672
52.2988,4.94374
52.2989,4.9452
52.2989,4.86682
52.299,4.94093
52.299,4.86688
52.2991,4.93683
52.2991,4.74154
52.2992,4.93698
52.2993,4.93727
52.2995,4.86424
52.3,4.73125
52.3001,4.73147
52.3002,4.94823
52.3002,4.86127
52.3004,4.86127
52.301,4.93601
52.3011,4.74325
52.3013,4.79713
52.3014,4.74368
52.3017,4.8551
52.3018,4.85514
52.3019,4.95333
52.3023,4.93445
52.3023,4.9341
52.3025,4.73147
52.3025,5.02918
52.3026,4.73169
52.3026,4.81213
52.3027,4.91816
52.303,4.9331
52.3032,5.01688
52.3036,4.74479
52.3036,4.8493
52.3038,4.95942
52.3041,4.7454
52.3043,4.84664
52.3045,4.73166
52.3046,4.73188
52.3048,4.84153
52.3049,4.84155
52.3053,4.93073
52.3058,4.9306
52.3062,4.74641
52.3062,4.83315
52.3062,4.83182
52.3063,4.83313
52.3063,4.83181
52.3065,4.96652
52.3068,4.73186
52.3068,4.73209
52.307,4.96941
52.3076,4.82705
52.3077,4.97081
52.3079,4.97089
52.3081,4.74783
52.3083,4.74806
52.3083,4.74781
52.3083,4.82517
52.3085,4.70949
52.3086,4.92716
52.3086,4.9273
52.3086,4.97439
52.3087,4.92756
52.3089,4.92728
52.3098,4.73214
52.31,4.73237
52.31,4.97681
52.3101,4.97794
52.3103,4.97789
52.3105,4.8193
52.3106,4.81942
52.3107,4.92547
52.3116,4.74951
52.312,4.92352
52.312,4.98298
52.312,4.99871
52.3121,4.92363
52.3121,4.75021
52.3122,4.92395
52.3124,4.98458
52.3133,4.73247
52.3133,4.98711
52.3134,4.73269
52.3135,4.75109
52.3136,4.92196
52.3137,4.81412
52.3138,4.81433
52.314,4.98925
52.314,4.98905
52.3141,4.98891
52.3143,4.7512
52.3144,4.92142
52.3148,4.75193
52.3155,4.75198
52.3158,4.91954
52.316,4.75277
52.316,4.99387
52.3161,4.73272
52.3161,4.99376
52.3162,4.73293
52.3163,4.9194
52.3164,4.8109
52.3164,4.68152
52.3165,4.81107
52.3167,4.75293
52.3168,4.75342
