startLocatieForDisplayLat	startLocatieForDisplayLong	ROADNUMBER	cor_id
52.2563	4.78288	N231	1
52.2567	4.8192	N201	2
52.2569	4.81936	N201	3
52.2578	4.77092	N196	4
52.2581	4.82868	N521	5
52.2588	4.6843	A4	6
52.2589	4.6849	A4	7
52.259	4.96597	A2	8
52.2615	4.6886	A4	9
52.2616	4.68833	A4	10
52.2625	4.96349	A2	11
52.2641	4.96326	A2	12
52.2643	4.69276	A4	13
52.2646	4.69262	A4	14
52.2648	4.96181	A2	15
52.2648	4.96425	A2	16
52.2649	4.962	A2	17
52.2672	4.96064	A2	18
52.2673	4.69657	A4	19
52.2674	4.96049	A2	20
52.2685	4.69876	A4	21
52.2685	4.69881	A4	22
52.2685	4.80288	N231	23
52.2692	4.96036	A2	24
52.2694	4.69936	A4	25
52.2694	4.69953	A4	26
52.2713	4.70188	A4	27
52.2717	4.70384	A4	28
52.2718	4.70393	A4	29
52.2719	4.70356	A4	30
52.2724	4.95809	A2	31
52.2726	4.95794	A2	32
52.2727	4.7043	A4	33
52.2731	4.70664	A4	34
52.2733	4.78438	N201	35
52.2734	4.7847	N201	36
52.2736	4.70652	A4	37
52.2738	4.70541	A4	38
52.2742	4.95768	A2	39
52.2749	4.70633	A4	40
52.2753	4.70843	A4	41
52.2765	4.70972	A4	42
52.2766	4.7094	A4	43
52.2768	4.71117	A4	44
52.2773	4.95468	A2	45
52.2777	5.05173	N523	46
52.2786	4.71226	A4	47
52.2788	4.7277	N201	48
52.2791	4.71452	A4	49
52.2791	4.71345	A4	50
52.2792	4.95392	A2	51
52.2793	4.7142	A4	52
52.2794	4.95376	A2	53
52.2804	4.71741	A4	54
52.2811	4.71732	A4	55
52.2812	4.7165	A4	56
52.2819	4.95132	A2	57
52.2819	4.95108	A2	58
52.2819	4.95105	A9	59
52.2821	4.71728	A4	60
52.2825	4.95212	A2	61
52.2825	4.95129	A2	62
52.2825	4.95158	A2	63
52.2825	4.95157	A2	64
52.2826	4.95123	A2	65
52.2828	4.71926	A4	66
52.2843	4.72182	A4	67
52.2848	4.73054	N196	68
52.2849	4.73065	N196	69
52.2852	4.72173	A4	70
52.2853	4.72226	A4	71
52.2854	4.94838	A2	72
52.2854	4.72291	A4	73
52.2857	4.94866	A2	74
52.2859	4.94817	A2	75
52.286	4.93854	A9	76
52.2861	4.93402	A9	77
52.2862	4.72245	A4	78
52.2863	4.93412	A9	79
52.2864	4.93436	A2	80
52.2864	4.72487	A4	81
52.2864	4.92979	A9	82
52.2865	4.75879	N201	83
52.2867	4.94175	A2	84
52.2867	4.92689	A9	85
52.2867	4.75849	N201	86
52.2869	4.92617	A9	87
52.2872	4.94739	A2	88
52.2873	4.94668	A2	89
52.2875	4.72489	A4	90
52.2878	4.91787	A9	91
52.288	4.72724	A4	92
52.288	4.918	A9	93
52.2881	4.91726	A9	94
52.2881	4.91733	A9	95
52.2886	4.72749	A4	96
52.2888	4.72738	A4	97
52.2893	4.72786	A5	98
52.2895	4.90922	A9	99
52.2896	4.94503	A2	100
52.2896	4.90932	A9	101
52.2897	4.94523	A2	102
52.2897	4.7279	A4	103
52.2897	4.72917	A4	104
52.2899	4.73093	A4	105
52.29	4.73044	A4	106
52.2905	4.72989	A4	107
52.2907	4.94305	A2	108
52.2911	4.72991	A5	109
52.2912	4.72932	A5	110
52.2912	5.07479	N236	111
52.2916	4.73189	A4	112
52.2916	4.90095	A9	113
52.2917	4.9011	A9	114
52.2919	4.73297	A4	115
52.2921	4.94348	A2	116
52.2923	4.942	A2	117
52.2927	4.73206	A5	118
52.2928	4.73316	A4	119
52.2932	4.73238	A4	120
52.2934	4.73058	A5	121
52.2935	4.73112	A5	122
52.2936	4.94224	A2	123
52.2936	4.73472	A4	124
52.2936	4.73467	A4	125
52.294	4.89312	A9	126
52.2942	4.89325	A9	127
52.2946	4.73566	A4	128
52.2947	4.73555	A4	129
52.2952	4.94027	A2	130
52.2952	4.88856	A9	131
52.2953	4.88862	A9	132
52.2955	4.9408	A2	133
52.2955	4.73096	A5	134
52.2955	4.73105	A5	135
52.2956	4.94007	A2	136
52.2956	4.73129	A5	137
52.2958	4.73793	A4	138
52.2958	5.05763	N236	139
52.2961	4.73837	A4	140
52.2962	4.88222	A9	141
52.2962	4.79335	N232	142
52.2963	4.88237	A9	143
52.2963	4.79303	N232	144
52.2964	4.88221	A9	145
52.2965	4.93786	A2	146
52.2965	4.73839	A4	147
52.297	4.94163	A2	148
52.2971	4.87495	A9	149
52.2971	4.87494	A9	150
52.2972	4.87467	A9	151
52.2974	4.93587	A9	152
52.2974	4.87478	A9	153
52.2981	4.73108	A5	154
52.2981	4.86995	A9	155
52.2982	4.7411	A4	156
52.2982	4.7313	A5	157
52.2985	4.89119	N522	158
52.2986	4.74153	A4	159
52.2988	4.93672	A2	160
52.2988	4.94374	A9	161
52.2989	4.9452	A9	162
52.2989	4.86682	A9	163
52.299	4.94093	A9	164
52.299	4.86688	A9	165
52.2991	4.93683	A2	166
52.2991	4.74154	A4	167
52.2992	4.93698	A2	168
52.2993	4.93727	A2	169
52.2995	4.86424	A9	170
52.3	4.73125	A5	171
52.3001	4.73147	A5	172
52.3002	4.94823	A9	173
52.3002	4.86127	A9	174
52.3004	4.86127	A9	175
52.301	4.93601	A9	176
52.3011	4.74325	A4	177
52.3013	4.79713	N232	178
52.3014	4.74368	A4	179
52.3017	4.8551	A9	180
52.3018	4.85514	A9	181
52.3019	4.95333	A9	182
52.3023	4.93445	A2	183
52.3023	4.9341	A2	184
52.3025	4.73147	A5	185
52.3025	5.02918	N236	186
52.3026	4.73169	A5	187
52.3026	4.81213	N231	188
52.3027	4.91816	N522	189
52.303	4.9331	A2	190
52.3032	5.01688	N236	191
52.3036	4.74479	A4	192
52.3036	4.8493	A9	193
52.3038	4.95942	A9	194
52.3041	4.7454	A4	195
52.3043	4.84664	A9	196
52.3045	4.73166	A5	197
52.3046	4.73188	A5	198
52.3048	4.84153	A9	199
52.3049	4.84155	A9	200
52.3053	4.93073	A2	201
52.3058	4.9306	A2	202
52.3062	4.74641	A4	203
52.3062	4.83315	A9	204
52.3062	4.83182	A9	205
52.3063	4.83313	A9	206
52.3063	4.83181	A9	207
52.3065	4.96652	A9	208
52.3068	4.73186	A5	209
52.3068	4.73209	A5	210
52.307	4.96941	A9	211
52.3076	4.82705	A9	212
52.3077	4.97081	A9	213
52.3079	4.97089	A9	214
52.3081	4.74783	A4	215
52.3083	4.74806	A4	216
52.3083	4.74781	A4	217
52.3083	4.82517	A9	218
52.3085	4.70949	N201	219
52.3086	4.92716	A2	220
52.3086	4.9273	A2	221
52.3086	4.97439	A9	222
52.3087	4.92756	A2	223
52.3089	4.92728	A2	224
52.3098	4.73214	A5	225
52.31	4.73237	A5	226
52.31	4.97681	A9	227
52.3101	4.97794	A9	228
52.3103	4.97789	A9	229
52.3105	4.8193	A9	230
52.3106	4.81942	A9	231
52.3107	4.92547	A2	232
52.3116	4.74951	A4	233
52.312	4.92352	A2	234
52.312	4.98298	A9	235
52.312	4.99871	N236	236
52.3121	4.92363	A2	237
52.3121	4.75021	A4	238
52.3122	4.92395	A2	239
52.3124	4.98458	A9	240
52.3133	4.73247	A5	241
52.3133	4.98711	A9	242
52.3134	4.73269	A5	243
52.3135	4.75109	A4	244
52.3136	4.92196	A2	245
52.3137	4.81412	A9	246
52.3138	4.81433	A9	247
52.314	4.98925	A9	248
52.314	4.98905	A9	249
52.3141	4.98891	A9	250
52.3143	4.7512	A4	251
52.3144	4.92142	A2	252
52.3148	4.75193	A4	253
52.3155	4.75198	A4	254
52.3158	4.91954	A2	255
52.316	4.75277	A4	256
52.316	4.99387	A9	257
52.3161	4.73272	A5	258
52.3161	4.99376	A9	259
52.3162	4.73293	A5	260
52.3163	4.9194	A2	261
52.3164	4.8109	A9	262
52.3164	4.68152	N201	263
52.3165	4.81107	A9	264
52.3167	4.75293	A4	265
52.3168	4.75342	A4	266
52.3172	4.75379	A4	267
52.3174	4.75352	A4	268
52.3181	4.91717	A2	269
52.3181	4.99759	A9	270
52.3185	4.75519	A4	271
52.3186	4.73295	A5	272
52.3187	4.91699	A2	273
52.3187	4.75495	A4	274
52.3187	4.73317	A5	275
52.319	5.09122	A1	276
52.3191	5.09122	A1	277
52.3192	4.99986	A9	278
52.3197	4.80791	A9	279
52.3198	4.80811	A9	280
52.3199	5.08791	A1	281
52.3199	5.08778	A1	282
52.3201	5.00083	A9	283
52.3202	5.08733	A1	284
52.3206	4.75823	A4	285
52.3207	4.75797	A4	286
52.3208	5.085	A1	287
52.3211	4.80667	A9	288
52.3213	5.08009	A1	289
52.3213	4.80671	A9	290
52.3215	4.91519	A2	291
52.3215	4.91507	A2	292
52.3216	5.08163	A1	293
52.3216	5.0029	A9	294
52.3219	5.08078	A1	295
52.322	4.76066	A4	296
52.3221	5.08093	A1	297
52.3222	4.76165	A4	298
52.3222	4.9143	A2	299
52.3223	4.91443	A2	300
52.3224	4.91495	A2	301
52.3225	5.08147	A1	302
52.3227	4.73332	A5	303
52.3227	4.73355	A5	304
52.3228	4.80473	A9	305
52.3229	5.07707	A1	306
52.323	5.07715	A1	307
52.3231	5.07721	A1	308
52.3231	4.80478	A9	309
52.3235	4.76659	A4	310
52.3236	4.76701	A4	311
52.3238	4.76643	A4	312
52.324	5.07308	A1	313
52.3241	4.91433	A2	314
52.3242	5.07315	A1	315
52.3243	5.07275	A1	316
52.3243	5.07324	A1	317
52.3243	4.77201	A4	318
52.3243	5.00488	A9	319
52.3244	4.77271	A4	320
52.3244	5.0047	A9	321
52.3249	4.7768	A4	322
52.3251	5.06911	A1	323
52.3251	4.73354	A5	324
52.3252	5.06919	A1	325
52.3252	4.77674	A4	326
52.3252	4.73377	A5	327
52.3253	5.06934	A1	328
52.3257	5.06705	A1	329
52.3259	4.91417	A2	330
52.3259	5.06613	A1	331
52.3261	5.06621	A1	332
52.3261	5.06644	A1	333
52.3261	4.91372	A2	334
52.3261	4.78288	A4	335
52.3262	4.80032	A9	336
52.3264	4.78804	A4	337
52.3266	4.91343	A2	338
52.3266	4.79285	A4	339
52.3267	4.91104	A10	340
52.3269	5.06342	A1	341
52.3269	4.78742	A4	342
52.3273	5.06081	A1	343
52.3276	5.0607	A1	344
52.3276	5.06072	A1	345
52.3277	5.06069	A1	346
52.3278	5.06069	A1	347
52.3278	5.06105	A1	348
52.3279	4.79366	A4	349
52.328	4.73381	A5	350
52.328	4.73403	A5	351
52.328	5.06081	A1	352
52.3283	4.90703	A10	353
52.3284	4.79623	A9	354
52.3284	5.00568	A9	355
52.3284	4.79573	A9	356
52.3285	5.00591	A9	357
52.3285	4.91079	A10	358
52.3285	4.91551	A10	359
52.3286	4.9131	A2	360
52.3286	4.79537	A4	361
52.3287	4.79479	A9	362
52.3288	4.91824	A10	363
52.3289	5.05741	A1	364
52.3289	5.05766	A1	365
52.3289	4.91899	A2	366
52.329	4.91768	A10	367
52.3292	4.79406	A9	368
52.3293	5.05577	A1	369
52.3293	4.79916	A9	370
52.3294	4.91341	A10	371
52.3295	5.00511	A1	372
52.3295	5.05572	A1	373
52.3295	4.90731	A10	374
52.3297	5.00532	A1	375
52.3297	4.79826	A4	376
52.3298	4.79805	A4	377
52.3299	4.79712	A4	378
52.3299	4.92138	A10	379
52.33	4.90615	A2	380
52.3302	4.91131	A2	381
52.3302	4.79736	A4	382
52.3303	5.05311	A1	383
52.3303	4.90281	A10	384
52.3303	4.92323	A10	385
52.3303	4.90286	A10	386
52.3307	4.91276	A2	387
52.3308	4.79683	A4	388
52.3309	5.05069	A1	389
52.3309	4.78027	N232	390
52.331	4.79034	A9	391
52.3311	5.05064	A1	392
52.3311	5.0508	A1	393
52.3311	4.79047	A9	394
52.3312	4.79048	A9	395
52.3313	4.79067	A9	396
52.3314	4.92567	A10	397
52.3315	5.00505	A1	398
52.3317	5.04771	A1	399
52.3317	4.8002	A4	400
52.3317	4.80022	A4	401
52.3317	5.00493	A1	402
52.3318	4.92873	A10	403
52.332	5.0349	A1	404
