measurementSiteReference,index,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,specificLocation,alertCDirectionCoded,intensity_id
GEO02_PNHTI503,13C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,1
GEO02_PNHTI503,14C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,2
GEO02_PNHTI503,15C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,3
GEO02_PNHTI503,16C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,4
GEO02_PNHTI503,17C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,5
GEO02_PNHTI503,18C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,6
GEO02_PNHTI503,1C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,7
GEO02_PNHTI503,2C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,8
GEO02_PNHTI503,3C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,9
GEO02_PNHTI503,4C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,10
GEO02_PNHTI503,5C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,11
GEO02_PNHTI503,6C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,12
GEO02_PNHTI503r,13C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,52.3398,4.6358,10714,negative,13
GEO02_PNHTI503r,14C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,52.3398,4.6358,10714,negative,14
GEO02_PNHTI503r,15C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,52.3398,4.6358,10714,negative,15
GEO02_PNHTI503r,16C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,52.3398,4.6358,10714,negative,16
GEO02_PNHTI503r,17C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,52.3398,4.6358,10714,negative,17
GEO02_PNHTI503r,18C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,52.3398,4.6358,10714,negative,18
GEO02_PNHTI503r,1C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,52.3398,4.6358,10714,negative,19
GEO02_PNHTI503r,2C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,52.3398,4.6358,10714,negative,20
