measurementSiteReference,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,alertCDirectionCoded,ROADNUMBER,trafficID
GEO02_PNHTI542r,A9 naar Alkmaar na afrit 5 ri afrit 6 thv hmp 30.4,52.3062,4.83182,positive,A9,1
GEO02_R_RWSTI1147,A9 naar Amstelveen vw van A9 vanuit Diemen naar A2 richting Amsterdam thv hmp 11.7,52.301,4.93601,positive,A9,2
GEO02_R_RWSTI4099,A1 naar Amersfoort na afrit 3 ri afrit 4 thv hmp 12.0,52.3276,5.0607,positive,A1,3
GEO02_R_RWSTI4100,"A1 naar Amersfoort na afrit 3 ri afrit 4 thv hmp 12.0, oprit",52.3276,5.06072,positive,A1,4
GEO02_R_RWSTI4101,A1 naar Amersfoort na afrit 3 ri afrit 4 thv hmp 12.0,52.3276,5.06072,positive,A1,5
GEO02_R_RWSTI4245,A10 naar Volendam na afrit 17 ri afrit 16 thv hmp 2.4,52.4165,4.91749,positive,A10,6
GEO02_R_RWSTI4320,A9 naar Amstelveen vw van A9 vanuit Diemen naar A2 richting Amsterdam thv hmp 11.3,52.2995,4.93954,positive,A9,7
GEO02_R_RWSTI4323,A9 naar Amstelveen na afrit 2 ri afrit 4 thv hmp 24.2,52.2881,4.91726,positive,A9,8
GEO02_R_RWSTI4325,A9 naar Amstelveen na afrit 4 ri afrit 5 thv hmp 26.8,52.2964,4.88221,positive,A9,9
GEO02_R_RWSTI4326,"A9 naar Amstelveen na afrit 4 ri afrit 5 thv hmp 26.8, oprit",52.2964,4.88221,positive,A9,10
GEO02_R_RWSTI4340,A10 naar Coenplein na afrit 7 ri afrit 6 thv hmp 21.3,52.3394,4.84195,positive,A10,11
GEO02_R_RWSTI4341,"A10 naar Coenplein na afrit 7 ri afrit 6 thv hmp 21.3, afrit",52.3394,4.84195,positive,A10,12
GEO02_R_RWSTI4346,A10 naar Coenplein na afrit 7 ri afrit 6 thv hmp 22.8,52.3529,4.84236,positive,A10,13
GEO02_R_RWSTI4347,"A10 naar Coenplein na afrit 7 ri afrit 6 thv hmp 22.8, afrit",52.3529,4.84236,positive,A10,14
GEO02_R_RWSTI4348,A10 naar Coenplein na afrit 5 ri afrit 4 thv hmp 25.4,52.3759,4.84319,positive,A10,15
GEO02_R_RWSTI4350,A4 naar Amsterdam op knppnt De Nieuwe Meer thv hmp 0.9,52.338,4.83351,positive,A4,16
GEO02_R_RWSTI4351,A4 naar Amsterdam vw van A4 vanuit Den Haag naar A10 richting Zaanstad thv hmp 0.9,52.338,4.83351,positive,A4,17
GEO02_R_RWSTI4370,A2 naar Amsterdam op knppnt Holendrecht ri afrit 1 thv hmp 36.9,52.2825,4.95158,positive,A2,18
GEO02_R_RWSTI4371,"A2 naar Amsterdam op knppnt Holendrecht ri afrit 1 thv hmp 36.9, afrit",52.2825,4.95157,positive,A2,19
GEO02_R_RWSTI4466,A2 naar Amsterdam op knppnt Amstel ri afrit Industriegebied Amstel Businesspark thv hmp 31.8,52.3224,4.91495,positive,A2,20
GEO02_R_RWSTI4474,"A10 naar Coenplein na afrit 1 ri knppnt Coenplein thv hmp 28.6, prb",52.4029,4.85213,positive,A10,21
GEO02_R_RWSTI4475,A10 naar Coenplein na afrit 1 ri knppnt Coenplein thv hmp 28.5,52.4029,4.85213,positive,A10,22
GEO02_R_RWSTI4476,A10 naar Coenplein na afrit 1 ri knppnt Coenplein thv hmp 28.5,52.4025,4.85188,positive,A10,23
GEO02_R_RWSTI4477,A10 naar Coenplein na afrit 1 ri knppnt Coenplein thv hmp 28.5,52.4025,4.85188,positive,A10,24
