measurementSiteReference,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,alertCDirectionCoded,ROADNUMBER,LocationTableNumber,LocationTableVersion,specificLocation,offsetDistance,LOC_TYPE,LOC_DES,trafficID
RWS01_MONIBAS_0011hrl0032ra,A1 westBound naar Amsterdam op knppnt Watergraafsmeer thv hmp 3.2,52.3437,4.95523,negative,A1,5.11,A,7000,1865,P1.2,Knooppunt (triangle),1
RWS01_MONIBAS_0011hrl0036ra,A1 westBound naar Amsterdam op knppnt Watergraafsmeer thv hmp 3.6,52.3469,4.95834,negative,A1,5.11,A,7000,1460,P1.2,Knooppunt (triangle),2
RWS01_MONIBAS_0011hrl0040ra,A1 westBound naar Amsterdam op knppnt Watergraafsmeer thv hmp 4.0,52.3502,4.96085,negative,A1,5.11,A,7000,1060,P1.2,Knooppunt (triangle),3
RWS01_MONIBAS_0011hrl0045ra,A1 westBound naar Amsterdam op knppnt Watergraafsmeer thv hmp 4.6,52.3516,4.96592,negative,A1,5.11,A,7000,530,P1.2,Knooppunt (triangle),4
RWS01_MONIBAS_0011hrl0049ra,A1 westBound naar Amsterdam op knppnt Watergraafsmeer thv hmp 5.0,52.3488,4.96995,negative,A1,5.11,A,7000,110,P1.2,Knooppunt (triangle),5
RWS01_MONIBAS_0011hrl0052ra,A1 westBound naar Amsterdam na afrit 1 ri knppnt Watergraafsmeer thv hmp 5.3,52.3474,4.97359,negative,A1,5.11,A,7003,415,P1.3,Afrit,6
RWS01_MONIBAS_0011hrl0056ra,A1 westBound naar Amsterdam na afrit 1 ri knppnt Watergraafsmeer thv hmp 5.6,52.3457,4.97747,negative,A1,5.11,A,7003,90,P1.3,Afrit,7
RWS01_MONIBAS_0011hrl0060ra,A1 westBound naar Amsterdam na afrit 2 ri afrit 1 thv hmp 6.0,52.3432,4.9815,negative,A1,5.11,A,7004,1200,P1.3,Afrit,8
RWS01_MONIBAS_0011hrl0065ra,A1 westBound naar Amsterdam na afrit 2 ri afrit 1 thv hmp 6.6,52.3393,4.98649,negative,A1,5.11,A,7004,645,P1.3,Afrit,9
RWS01_MONIBAS_0011hrl0068ra,A1 westBound naar Amsterdam na afrit 2 ri afrit 1 thv hmp 6.9,52.3373,4.98989,negative,A1,5.11,A,7004,320,P1.3,Afrit,10
RWS01_MONIBAS_0011hrl0070ra,A1 westBound naar Amsterdam na afrit 2 ri afrit 1 thv hmp 7.1,52.3362,4.99217,negative,A1,5.11,A,7004,125,P1.3,Afrit,11
RWS01_MONIBAS_0011hrl0074ra,A1 westBound naar Amsterdam op knppnt Diemen ri afrit 2 thv hmp 7.5,52.3344,4.99724,negative,A1,5.11,A,7006,525,P1.2,Knooppunt (triangle),12
RWS01_MONIBAS_0011hrl0076ra,A1 westBound naar Amsterdam op knppnt Diemen ri afrit 2 thv hmp 7.7,52.3337,4.99994,negative,A1,5.11,A,7006,325,P1.2,Knooppunt (triangle),13
RWS01_MONIBAS_0011hrl0079ra,A1 westBound naar Amsterdam op knppnt Diemen ri afrit 2 thv hmp 8.0,52.333,5.00377,negative,A1,5.11,A,7006,50,P1.2,Knooppunt (triangle),14
RWS01_MONIBAS_0011hrl0081ra,A1 westBound naar Amsterdam na afrit 3 ri knppnt Diemen thv hmp 8.2,52.3327,5.00695,negative,A1,5.11,A,7008,705,P3.2,Brug,15
RWS01_MONIBAS_0011hrl0085ra,A1 westBound naar Amsterdam na afrit 3 ri knppnt Diemen thv hmp 8.5,52.3325,5.01113,negative,A1,5.11,A,7008,382,P3.2,Brug,16
RWS01_MONIBAS_0011hrl0089ra,A1 westBound naar Amsterdam na afrit 3 ri knppnt Diemen thv hmp 8.9,52.3325,5.01717,negative,A1,5.11,A,7009,2562,P1.3,Afrit,17
