measurementSiteReference,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,alertCDirectionCoded,ROADNUMBER,LocationTableNumber,LocationTableVersion,specificLocation,offsetDistance,LOC_TYPE,LOC_DES,trafficID
GEO02_PNHTI542r,A9 naar Alkmaar na afrit 5 ri afrit 6 thv hmp 30.4,52.3062,4.83182,positive,A9,5.11,A,10573,2072,P1.3,Afrit,1
GEO02_R_RWSTI4099,A1 naar Amersfoort na afrit 3 ri afrit 4 thv hmp 12.0,52.3276,5.0607,positive,A1,5.11,A,7009,180,P1.3,Afrit,2
GEO02_R_RWSTI4101,A1 naar Amersfoort na afrit 3 ri afrit 4 thv hmp 12.0,52.3276,5.06072,positive,A1,5.11,A,7009,191,P1.3,Afrit,3
GEO02_R_RWSTI4245,A10 naar Volendam na afrit 17 ri afrit 16 thv hmp 2.4,52.4165,4.91749,positive,A10,5.11,A,7180,800,P1.3,Afrit,4
GEO02_R_RWSTI4323,A9 naar Amstelveen na afrit 2 ri afrit 4 thv hmp 24.2,52.2881,4.91726,positive,A9,5.11,A,21698,1300,P1.3,Afrit,5
GEO02_R_RWSTI4325,A9 naar Amstelveen na afrit 4 ri afrit 5 thv hmp 26.8,52.2964,4.88221,positive,A9,5.11,A,10572,550,P1.3,Afrit,6
GEO02_R_RWSTI4340,A10 naar Coenplein na afrit 7 ri afrit 6 thv hmp 21.3,52.3394,4.84195,positive,A10,5.11,A,7204,100,P1.3,Afrit,7
GEO02_R_RWSTI4346,A10 naar Coenplein na afrit 7 ri afrit 6 thv hmp 22.8,52.3529,4.84236,positive,A10,5.11,A,7204,1600,P1.3,Afrit,8
GEO02_R_RWSTI4348,A10 naar Coenplein na afrit 5 ri afrit 4 thv hmp 25.4,52.3759,4.84319,positive,A10,5.11,A,7206,1000,P1.3,Afrit,9
GEO02_R_RWSTI4350,A4 naar Amsterdam op knppnt De Nieuwe Meer thv hmp 0.9,52.338,4.83351,positive,A4,5.11,A,9237,100,P1.2,Knooppunt (triangle),10
GEO02_R_RWSTI4370,A2 naar Amsterdam op knppnt Holendrecht ri afrit 1 thv hmp 36.9,52.2825,4.95158,positive,A2,5.11,A,8006,300,P1.1,Knooppunt,11
GEO02_R_RWSTI4466,A2 naar Amsterdam op knppnt Amstel ri afrit Industriegebied Amstel Businesspark thv hmp 31.8,52.3224,4.91495,positive,A2,5.11,A,8012,10,P1.1,Knooppunt,12
GEO02_R_RWSTI4475,A10 naar Coenplein na afrit 1 ri knppnt Coenplein thv hmp 28.5,52.4029,4.85213,positive,A10,5.11,A,7210,240,P1.3,Afrit,13
GEO02_R_RWSTI4476,A10 naar Coenplein na afrit 1 ri knppnt Coenplein thv hmp 28.5,52.4025,4.85188,positive,A10,5.11,A,7210,200,P1.3,Afrit,14
GEO02_R_RWSTI4480,A2 naar Amsterdam op knppnt Amstel ri afrit Industriegebied Amstel Businesspark thv hmp 31.8,52.3222,4.9143,positive,A2,5.11,A,8012,0,P1.1,Knooppunt,15
RWS01_MONIBAS_0011hrr0040ra,A1 eastBound naar Amersfoort op knppnt Watergraafsmeer ri afrit 1 thv hmp 4.1,52.3472,4.95946,positive,A1,5.11,A,7000,85,P1.2,Knooppunt (triangle),16
RWS01_MONIBAS_0011hrr0045ra,A1 eastBound naar Amersfoort op knppnt Watergraafsmeer ri afrit 1 thv hmp 4.6,52.3502,4.9642,positive,A1,5.11,A,7000,565,P1.2,Knooppunt (triangle),17
RWS01_MONIBAS_0011hrr0051ra,A1 eastBound naar Amersfoort op knppnt Watergraafsmeer ri afrit 1 thv hmp 5.2,52.3478,4.97186,positive,A1,5.11,A,7000,1160,P1.2,Knooppunt (triangle),18
RWS01_MONIBAS_0011hrr0053ra,A1 eastBound naar Amersfoort op knppnt Watergraafsmeer ri afrit 1 thv hmp 5.4,52.3467,4.97452,positive,A1,5.11,A,7000,1380,P1.2,Knooppunt (triangle),19
RWS01_MONIBAS_0011hrr0060ra,A1 eastBound naar Amersfoort na afrit 1 ri afrit 2 thv hmp 6.0,52.3431,4.98128,positive,A1,5.11,A,7003,600,P1.3,Afrit,20
RWS01_MONIBAS_0011hrr0063ra,A1 eastBound naar Amersfoort na afrit 1 ri afrit 2 thv hmp 6.4,52.3406,4.98437,positive,A1,5.11,A,7003,950,P1.3,Afrit,21
RWS01_MONIBAS_0011hrr0068ra,A1 eastBound naar Amersfoort na afrit 2 ri knppnt Diemen thv hmp 6.9,52.3372,4.98975,positive,A1,5.11,A,7004,380,P1.3,Afrit,22
RWS01_MONIBAS_0011hrr0070ra,A1 eastBound naar Amersfoort na afrit 2 ri knppnt Diemen thv hmp 7.1,52.3361,4.99199,positive,A1,5.11,A,7004,575,P1.3,Afrit,23
RWS01_MONIBAS_0011hrr0073ra,A1 eastBound naar Amersfoort na afrit 2 ri knppnt Diemen thv hmp 7.4,52.3346,4.99584,positive,A1,5.11,A,7004,880,P1.3,Afrit,24
RWS01_MONIBAS_0011hrr0076ra,A1 eastBound naar Amersfoort na afrit 2 ri knppnt Diemen thv hmp 7.7,52.3335,4.99982,positive,A1,5.11,A,7004,1175,P1.3,Afrit,25
RWS01_MONIBAS_0011hrr0079ra,A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 8.0,52.3328,5.0036,positive,A1,5.11,A,7006,250,P1.2,Knooppunt (triangle),26
RWS01_MONIBAS_0011hrr0082ra,A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 8.2,52.3324,5.00719,positive,A1,5.11,A,7006,505,P1.2,Knooppunt (triangle),27
RWS01_MONIBAS_0011hrr0085ra,A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 8.5,52.3323,5.01135,positive,A1,5.11,A,7006,828,P1.2,Knooppunt (triangle),28
RWS01_MONIBAS_0011hrr0089ra,A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 8.9,52.3324,5.01736,positive,A1,5.11,A,7008,348,P3.2,Brug,29
RWS01_MONIBAS_0011hrr0095ra,A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 9.6,52.3322,5.0267,positive,A1,5.11,A,7008,971,P3.2,Brug,30
RWS01_MONIBAS_0011hrr0101ra,A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 10.1,52.332,5.0349,positive,A1,5.11,A,7008,1522,P3.2,Brug,31
RWS01_MONIBAS_0011hrr0107ra,A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 10.7,52.332,5.04346,positive,A1,5.11,A,7008,2104,P3.2,Brug,32
RWS01_MONIBAS_0011hrr0112ra,A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 11.2,52.3309,5.05069,positive,A1,5.11,A,7008,2614,P3.2,Brug,33
RWS01_MONIBAS_0011hrr0116ra,A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 11.6,52.3293,5.05577,positive,A1,5.11,A,7008,3000,P3.2,Brug,34
RWS01_MONIBAS_0011hrr0119ra,A1 eastBound naar Amersfoort na afrit 3 ri afrit 4 thv hmp 12.0,52.3277,5.06069,positive,A1,5.11,A,7009,190,P1.3,Afrit,35
RWS01_MONIBAS_0011hrr0124ra,A1 eastBound naar Amersfoort na afrit 4 ri knppnt Muiderberg thv hmp 12.4,52.3257,5.06705,positive,A1,5.11,A,7011,80,P1.3,Afrit,36
RWS01_MONIBAS_0011hrr0126ra,A1 eastBound naar Amersfoort na afrit 4 ri knppnt Muiderberg thv hmp 12.6,52.3251,5.06911,positive,A1,5.11,A,7011,235,P1.3,Afrit,37
RWS01_MONIBAS_0011hrr0129ra,A1 eastBound naar Amersfoort na afrit 4 ri knppnt Muiderberg thv hmp 12.9,52.324,5.07308,positive,A1,5.11,A,7011,530,P1.3,Afrit,38
RWS01_MONIBAS_0011hrr0132ra,A1 eastBound naar Amersfoort na afrit 4 ri knppnt Muiderberg thv hmp 13.2,52.3229,5.07707,positive,A1,5.11,A,7011,830,P1.3,Afrit,39
