measurementSiteReference,index,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,specificLocation,alertCDirectionCoded,speed_id
GEO02_PNHTI503,10C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,1
GEO02_PNHTI503,11C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,2
GEO02_PNHTI503,12C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,3
GEO02_PNHTI503,19C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,4
GEO02_PNHTI503,20C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,5
GEO02_PNHTI503,21C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,6
GEO02_PNHTI503,22C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,7
GEO02_PNHTI503,23C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,8
GEO02_PNHTI503,24C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,9
GEO02_PNHTI503,7C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,10
GEO02_PNHTI503,8C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,11
GEO02_PNHTI503,9C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,52.3398,4.6358,10713,positive,12
GEO02_PNHTI503r,10C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,52.3398,4.6358,10714,negative,13
GEO02_PNHTI503r,11C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,52.3398,4.6358,10714,negative,14
GEO02_PNHTI503r,12C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,52.3398,4.6358,10714,negative,15
GEO02_PNHTI503r,19C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,52.3398,4.6358,10714,negative,16
GEO02_PNHTI503r,20C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,52.3398,4.6358,10714,negative,17
GEO02_PNHTI503r,21C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,52.3398,4.6358,10714,negative,18
GEO02_PNHTI503r,22C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,52.3398,4.6358,10714,negative,19
GEO02_PNHTI503r,23C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,52.3398,4.6358,10714,negative,20
GEO02_PNHTI503r,24C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,52.3398,4.6358,10714,negative,21
GEO02_PNHTI503r,7C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,52.3398,4.6358,10714,negative,22
GEO02_PNHTI503r,8C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,52.3398,4.6358,10714,negative,23
GEO02_PNHTI503r,9C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,52.3398,4.6358,10714,negative,24
GEO02_PNHTI504,10C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 22.0,52.3326,4.64281,10715,positive,25
GEO02_PNHTI504,11C,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 22.0,52.3326,4.64281,10715,positive,26
